time,cluster,msg_size,smoothed_rtt
0.018468,rennes,10000,333.0
98.116066,rennes,10000,40.51015
137.31543,rennes,10000,40.275608
176.04787,rennes,10000,40.061672
214.62909,rennes,10000,39.86031
4774.7925,rennes,10000,333.0
0.026263,rennes,10000,333.0
96.62291,rennes,10000,39.482178
135.72252,rennes,10000,39.37577
174.44821,rennes,10000,39.271656
213.04694,rennes,10000,39.17114
4774.2334,rennes,10000,333.0
0.034799,nantes,10000,333.0
83.87674,nantes,10000,41.229313
124.70658,nantes,10000,41.125748
165.17966,nantes,10000,41.015514
205.50899,nantes,10000,40.912888
4558.5337,nantes,10000,333.0
0.023647001,nantes,10000,333.0
103.148285,nantes,10000,60.642292
143.69644,nantes,10000,58.085464
183.94872,nantes,10000,55.84059
224.26115,nantes,10000,53.87938
4718.7827,nantes,10000,333.0
0.022452,nantes,10000,333.0
105.58942,nantes,10000,64.66933
146.10777,nantes,10000,61.61107
186.66939,nantes,10000,58.941284
226.73334,nantes,10000,56.573517
4725.454,nantes,10000,333.0
0.026144,nantes,10000,333.0
105.10607,nantes,10000,64.13821
145.9807,nantes,10000,61.1764
186.40903,nantes,10000,58.56089
226.57372,nantes,10000,56.25298
4730.344,nantes,10000,333.0
0.027335,nantes,10000,333.0
110.94627,nantes,10000,68.05488
151.49976,nantes,10000,64.575516
191.73349,nantes,10000,61.517776
231.72156,nantes,10000,58.817986
4737.315,nantes,10000,333.0
0.034702,nantes,10000,333.0
82.19951,nantes,10000,41.16288
122.78362,nantes,10000,41.04153
163.08653,nantes,10000,40.91535
203.29219,nantes,10000,40.807327
4743.1616,nantes,10000,333.0
0.019882,rennes,10000,333.0
115.77889,rennes,10000,58.429466
154.56429,rennes,10000,55.938976
193.2892,rennes,10000,53.75743
231.84221,rennes,10000,51.85011
4734.2544,rennes,10000,333.0
0.017972,rennes,10000,333.0
117.96441,rennes,10000,66.37815
156.95676,rennes,10000,62.919827
195.53145,rennes,10000,59.859543
233.99469,rennes,10000,57.17801
4738.6523,rennes,10000,333.0
0.017066,rennes,10000,333.0
119.6566,rennes,10000,62.942966
158.49625,rennes,10000,59.89362
197.01042,rennes,10000,57.197845
235.58763,rennes,10000,54.855827
4743.8174,rennes,10000,333.0
0.025366,rennes,10000,333.0
125.21528,rennes,10000,63.949615
164.12646,rennes,10000,60.780777
202.92511,rennes,10000,58.003025
241.45416,rennes,10000,55.561527
4748.3447,rennes,10000,333.0
0.021133998,rennes,10000,333.0
92.15391,rennes,10000,40.29844
130.89552,rennes,10000,40.069416
169.53526,rennes,10000,39.87331
207.98059,rennes,10000,39.678722
4779.215,rennes,10000,333.0
0.029889999,rennes,10000,333.0
96.984116,rennes,10000,40.546917
136.16199,rennes,10000,40.31936
174.7427,rennes,10000,40.07277
213.20177,rennes,10000,39.861916
4753.5215,rennes,10000,333.0
0.0134000005,nancy,10000,333.0
90.97262,nancy,10000,39.516487
129.89572,nancy,10000,39.39093
168.31467,nancy,10000,39.25869
206.64714,nancy,10000,39.13653
4815.427,nancy,10000,333.0
0.013025,nancy,10000,333.0
96.70123,nancy,10000,41.511265
135.53583,nancy,10000,41.125885
174.04228,nancy,10000,40.775963
212.31805,nancy,10000,40.45688
