time,cluster,msg_size,smoothed_rtt
51.551697,rennes,10000,19.356901
70.39346,rennes,10000,18.560415
89.10697,rennes,10000,18.490528
107.58636,rennes,10000,18.424685
43.18726,nancy,10000,13.536276
55.848286,nancy,10000,12.34276
68.38442,nancy,10000,12.265293
80.633354,nancy,10000,12.195965
41.42742,nantes,10000,20.893024
62.266975,nantes,10000,20.294312
82.54203,nantes,10000,20.142555
102.73817,nantes,10000,20.120176
76.16949,rennes,10000,42.668823
94.98935,rennes,10000,18.53968
113.61741,rennes,10000,18.52247
132.05699,rennes,10000,18.386356
59.672764,rennes,10000,21.83344
78.57522,rennes,10000,18.54908
97.20628,rennes,10000,18.406368
115.70116,rennes,10000,18.440775
65.604324,rennes,10000,22.603453
84.4039,rennes,10000,18.515442
102.97097,rennes,10000,18.338793
121.43456,rennes,10000,18.407784
57.56022,rennes,10000,20.01226
76.49609,rennes,10000,18.572329
95.13737,rennes,10000,18.39751
113.58392,rennes,10000,18.387928
52.03663,rennes,10000,19.406826
70.88569,rennes,10000,18.45767
89.52082,rennes,10000,18.500988
108.132195,rennes,10000,18.543541
69.24464,rennes,10000,36.96287
88.3647,rennes,10000,18.513483
107.08531,rennes,10000,18.482533
125.66553,rennes,10000,18.448904
74.50796,rennes,10000,37.675102
93.51286,rennes,10000,18.55326
112.073044,rennes,10000,18.398348
130.57626,rennes,10000,18.375256
52.75534,rennes,10000,21.042639
71.63587,rennes,10000,18.60151
90.05224,rennes,10000,18.318624
108.53658,rennes,10000,18.43257
77.86474,rennes,10000,41.211277
96.732666,rennes,10000,18.556677
115.22764,rennes,10000,18.387688
133.7742,rennes,10000,18.437899
56.939396,rennes,10000,20.119503
75.84104,rennes,10000,18.614035
94.55064,rennes,10000,18.576813
113.05802,rennes,10000,18.449234
62.098602,rennes,10000,20.33493
81.1555,rennes,10000,18.526283
99.70649,rennes,10000,18.440422
118.22899,rennes,10000,18.466707
74.50691,rennes,10000,36.043495
93.62017,rennes,10000,18.60294
112.29828,rennes,10000,18.57266
130.70702,rennes,10000,18.353056
56.584705,rennes,10000,23.346924
75.43082,rennes,10000,18.45675
94.00463,rennes,10000,18.42544
112.44404,rennes,10000,18.384497
80.2825,rennes,10000,41.97367
99.251755,rennes,10000,18.513065
117.65244,rennes,10000,18.282782
136.30136,rennes,10000,18.521963
67.065765,rennes,10000,24.146997
85.909805,rennes,10000,18.567951
104.79056,rennes,10000,18.63815
123.20589,rennes,10000,18.31333
56.689907,rennes,10000,19.406052
75.75358,rennes,10000,18.590311
94.34894,rennes,10000,18.487982
112.73491,rennes,10000,18.33103
44.60992,nancy,10000,13.285465
57.047466,nancy,10000,12.2323885
69.50271,nancy,10000,12.186874
81.88013,nancy,10000,12.231467
38.57449,nancy,10000,13.327035
51.732838,nancy,10000,12.396363
64.00977,nancy,10000,12.14722
76.31562,nancy,10000,12.261905
43.43354,nancy,10000,14.006489
56.215546,nancy,10000,12.187774
68.49947,nancy,10000,12.19354
80.810196,nancy,10000,12.165336
1036.7476,nancy,10000,13.1551285
1049.4844,nancy,10000,12.3860855
1062.1273,nancy,10000,12.358711
1074.5538,nancy,10000,12.309892
51.765095,rennes,10000,20.048061
70.87604,rennes,10000,18.534899
89.549095,rennes,10000,18.498167
108.17894,rennes,10000,18.50202
40.31294,nancy,10000,13.264458
52.704193,nancy,10000,12.128288
65.18193,nancy,10000,12.260201
77.39115,nancy,10000,12.082788
59.017548,nantes,10000,32.903774
79.59503,nantes,10000,20.257195
99.89581,nantes,10000,20.154552
120.23671,nantes,10000,20.204468
41.7242,nantes,10000,21.178
62.4576,nantes,10000,20.180069
82.70249,nantes,10000,20.11746
102.92069,nantes,10000,20.14893
43.08888,nantes,10000,22.538486
63.60291,nantes,10000,20.208769
84.018005,nantes,10000,20.290184
104.359726,nantes,10000,20.20598
45.807022,nantes,10000,25.242617
66.460335,nantes,10000,20.308628
86.75333,nantes,10000,20.170898
106.8031,nantes,10000,19.978647
41.5359,nantes,10000,21.042437
62.25165,nantes,10000,20.0954
82.47141,nantes,10000,20.080166
102.69123,nantes,10000,20.079664
57.04974,nantes,10000,32.459793
77.689705,nantes,10000,20.256058
98.08267,nantes,10000,20.143702
118.271774,nantes,10000,20.065258
41.899097,nantes,10000,21.064001
62.378433,nantes,10000,20.153292
82.68299,nantes,10000,20.192436
103.00677,nantes,10000,20.194036
42.36539,nantes,10000,21.482536
63.16363,nantes,10000,20.321432
83.59236,nantes,10000,20.307625
103.857666,nantes,10000,20.152246
43.777847,nantes,10000,22.835365
64.56002,nantes,10000,20.26067
85.022995,nantes,10000,20.21768
105.309166,nantes,10000,20.141401
55.660473,rennes,10000,19.29339
74.759,rennes,10000,18.533484
93.26606,rennes,10000,18.400024
111.87472,rennes,10000,18.554293
47.462967,nantes,10000,26.441463
68.185776,nantes,10000,20.238535
88.7342,nantes,10000,20.293434
109.00394,nantes,10000,20.139313
68.433495,rennes,10000,37.73074
87.29031,rennes,10000,18.508692
105.96694,rennes,10000,18.437239
124.46844,rennes,10000,18.44748
72.20621,rennes,10000,36.91349
91.02081,rennes,10000,18.538815
109.62693,rennes,10000,18.415762
128.0949,rennes,10000,18.413776
52.405018,rennes,10000,21.887472
71.27635,rennes,10000,18.589968
89.98701,rennes,10000,18.471836
108.45517,rennes,10000,18.413822
56.57036,rennes,10000,21.185608
75.50969,rennes,10000,18.589045
94.16474,rennes,10000,18.470293
112.65986,rennes,10000,18.440884
55.329815,rennes,10000,24.965591
74.16664,rennes,10000,18.500992
92.76646,rennes,10000,18.496508
111.27386,rennes,10000,18.452568
1036.6357,lyon,10000,18.50074
1054.7905,lyon,10000,17.598442
1072.5154,lyon,10000,17.512966
1090.1011,lyon,10000,17.482353
1036.4775,lyon,10000,18.46853
1054.4196,lyon,10000,17.548584
1071.9565,lyon,10000,17.405111
1089.4858,lyon,10000,17.4251
1036.5524,lyon,10000,18.417807
1054.5724,lyon,10000,17.60603
1072.3445,lyon,10000,17.639177
1090.0242,lyon,10000,17.578861
36.514767,lyon,10000,18.437946
54.450493,lyon,10000,17.504595
72.18022,lyon,10000,17.48174
89.78367,lyon,10000,17.474903
51.127678,rennes,10000,19.689348
70.2068,rennes,10000,18.554205
88.89198,rennes,10000,18.579935
107.56153,rennes,10000,18.538862
36.2304,lyon,10000,18.468452
54.156937,lyon,10000,17.543509
71.713486,lyon,10000,17.423027
89.1388,lyon,10000,17.353952
52.89103,nancy,10000,28.021612
65.42898,nancy,10000,12.318831
78.099686,nancy,10000,12.404787
90.41695,nancy,10000,12.172314
57.43525,nancy,10000,28.801964
69.93246,nancy,10000,12.260989
82.499,nancy,10000,12.299067
94.79866,nancy,10000,12.15053
62.35841,nancy,10000,29.50556
75.315605,nancy,10000,12.344929
87.89003,nancy,10000,12.306678
100.231766,nancy,10000,12.197822
40.211773,nancy,10000,13.330617
53.291935,nancy,10000,12.33017
65.81438,nancy,10000,12.249689
77.95602,nancy,10000,12.087465
44.8462,nancy,10000,14.085208
57.30226,nancy,10000,12.228914
69.907616,nancy,10000,12.334264
82.13265,nancy,10000,12.150562
1036.4711,lyon,10000,18.418955
1054.5457,lyon,10000,17.537136
1072.2231,lyon,10000,17.424437
1089.8094,lyon,10000,17.486708
1036.8009,lyon,10000,18.565445
1054.7839,lyon,10000,17.599257
1072.486,lyon,10000,17.53632
1089.9769,lyon,10000,17.446144
1035.59,lyon,10000,18.503014
1053.7128,lyon,10000,17.57974
1071.4843,lyon,10000,17.557358
1089.0593,lyon,10000,17.47406
1035.7955,lyon,10000,18.428692
1053.6924,lyon,10000,17.510849
1071.5106,lyon,10000,17.555443
1088.9935,lyon,10000,17.430035
46.776344,nancy,10000,13.272696
59.60065,nancy,10000,12.34203
72.20595,nancy,10000,12.337857
84.62261,nancy,10000,12.271251
47.722317,lyon,10000,18.25016
65.86583,lyon,10000,17.534931
83.56565,lyon,10000,17.452208
101.0702,lyon,10000,17.439987
42.110424,nantes,10000,21.201015
62.70293,nantes,10000,20.288164
83.239746,nantes,10000,20.285511
103.65823,nantes,10000,20.196377
41.626816,nantes,10000,21.077421
62.185608,nantes,10000,20.268772
82.6462,nantes,10000,20.250555
102.773056,nantes,10000,20.066206
41.92071,nantes,10000,21.347296
62.52201,nantes,10000,20.297781
82.82035,nantes,10000,20.12684
103.23306,nantes,10000,20.27839
43.678074,nantes,10000,21.828928
64.26161,nantes,10000,20.253592
84.59973,nantes,10000,20.1313
104.85864,nantes,10000,20.198423
48.685436,nantes,10000,21.148388
69.36516,nantes,10000,20.285528
89.65492,nantes,10000,20.157509
110.01234,nantes,10000,20.263641
44.862072,nancy,10000,17.643984
57.26537,nancy,10000,12.19769
69.82582,nancy,10000,12.293381
82.12448,nancy,10000,12.1553
48.0189,nancy,10000,16.988281
60.516865,nancy,10000,12.283098
72.841675,nancy,10000,12.131748
85.148224,nancy,10000,12.159549
53.691208,nancy,10000,18.542332
66.55092,nancy,10000,12.157
78.974106,nancy,10000,12.175393
91.30812,nancy,10000,12.204086
55.016865,nancy,10000,15.570877
67.93387,nancy,10000,12.17805
80.28029,nancy,10000,12.223132
92.69154,nancy,10000,12.267297
