run_index,msg_size,time
0,100000,3351.42415
0,100000,3351.46285
0,100000,3351.47545
0,100000,3351.4861499999997
0,100000,3351.49645
0,100000,3351.50765
0,100000,3350.10675
0,100000,3350.11195
0,100000,3350.1415500000003
0,100000,3350.14545
0,100000,3350.14835
0,100000,3350.1514500000003
0,100000,3353.1437
0,100000,3353.1548000000003
0,100000,3353.1583
0,100000,3353.1620000000003
0,100000,3353.165
0,100000,3353.1682
0,100000,3351.52245
0,100000,3351.59185
0,100000,3351.60495
0,100000,3351.61575
0,100000,3351.62575
0,100000,3351.63685
0,100000,3351.3670500000003
0,100000,3351.4060500000005
0,100000,3351.41795
0,100000,3351.4297500000002
0,100000,3351.53885
0,100000,3351.55405
0,100000,3350.5940499999997
0,100000,3350.77575
0,100000,3350.78745
0,100000,3350.7905499999997
0,100000,3350.79355
0,100000,3350.79695
0,100000,3352.8315000000002
0,100000,3352.8436
0,100000,3352.8478999999998
0,100000,3352.8507
0,100000,3352.8541999999998
0,100000,3352.8572
0,100000,3351.0785
0,100000,3351.1173
0,100000,3351.1293
0,100000,3351.1400000000003
0,100000,3351.1503000000002
0,100000,3351.1617
0,100000,3351.1159
0,100000,3351.1548000000003
0,100000,3351.1672
0,100000,3351.1776
0,100000,3351.188
0,100000,3351.1989999999996
0,100000,3352.38075
0,100000,3352.41905
0,100000,3352.43075
0,100000,3352.4415499999996
0,100000,3352.45165
0,100000,3352.46255
0,100000,3350.2399
0,100000,3350.3821
0,100000,3350.3968
0,100000,3350.4692999999997
0,100000,3350.4827999999998
0,100000,3350.5206
0,100000,3352.896
0,100000,3352.9297
0,100000,3352.9412
0,100000,3352.9504
0,100000,3352.9595
0,100000,3352.9694
0,100000,3350.32405
0,100000,3350.34155
0,100000,3350.35185
0,100000,3350.3607500000003
0,100000,3350.36985
0,100000,3350.3786500000006
0,100000,3350.4031999999997
0,100000,3350.4191
0,100000,3350.4826
0,100000,3350.4952
0,100000,3350.5046
0,100000,3350.5135
0,100000,3350.93075
0,100000,3350.95455
0,100000,3350.95945
0,100000,3350.96295
0,100000,3350.96595
0,100000,3350.96935
0,100000,3350.65085
0,100000,3350.68375
0,100000,3350.69415
0,100000,3350.70345
0,100000,3350.7122499999996
0,100000,3350.7215499999998
0,100000,3351.74835
0,100000,3351.77535
0,100000,3351.77965
0,100000,3351.7828499999996
0,100000,3351.78565
0,100000,3351.78905
0,100000,3351.6996
0,100000,3351.7138999999997
0,100000,3351.7204
0,100000,3351.7241
0,100000,3351.7277999999997
0,100000,3351.7313999999997
0,100000,3351.41335
0,100000,3351.45885
0,100000,3351.4711500000003
0,100000,3351.47995
0,100000,3351.4891500000003
0,100000,3351.49825
0,100000,3353.0825
0,100000,3353.0975
0,100000,3353.1023
0,100000,3353.1053
0,100000,3353.1082
0,100000,3353.1117000000004
0,100000,3350.2842
0,100000,3350.3028999999997
0,100000,3350.3118999999997
0,100000,3350.3202
0,100000,3350.3286
0,100000,3350.3374
0,100000,3350.83915
0,100000,3350.87135
0,100000,3350.87615
0,100000,3350.87935
0,100000,3350.88265
0,100000,3350.8863499999998
0,100000,3352.03215
0,100000,3352.04815
0,100000,3352.05285
0,100000,3352.05625
0,100000,3352.05965
0,100000,3352.06265
0,100000,3351.9724499999998
0,100000,3352.0359499999995
0,100000,3352.07455
0,100000,3352.08015
0,100000,3352.08355
0,100000,3352.0868499999997
0,100000,3351.8515
0,100000,3351.8698000000004
0,100000,3351.8755
0,100000,3351.8793
0,100000,3351.8829
0,100000,3351.8869000000004
0,100000,3353.18055
0,100000,3353.21925
0,100000,3353.23145
0,100000,3353.2420500000003
0,100000,3353.25245
0,100000,3353.26355
0,100000,3351.65545
0,100000,3351.69085
0,100000,3351.70205
0,100000,3351.71095
0,100000,3351.71975
0,100000,3351.72935
0,100000,3351.51435
0,100000,3351.55015
0,100000,3351.56135
0,100000,3351.57045
0,100000,3351.57895
0,100000,3351.58875
0,100000,3352.5341999999996
0,100000,3352.5680999999995
0,100000,3352.5797
0,100000,3352.5885999999996
0,100000,3352.5975999999996
0,100000,3352.607
0,100000,3352.05815
0,100000,3352.0733499999997
0,100000,3352.07765
0,100000,3352.08095
0,100000,3352.08425
0,100000,3352.08815
0,100000,3350.0172000000002
0,100000,3350.0329
0,100000,3350.0425999999998
0,100000,3350.0516
0,100000,3350.1017
0,100000,3350.1139
0,100000,3351.3858499999997
0,100000,3351.42165
0,100000,3351.43275
0,100000,3351.4420499999997
0,100000,3351.45075
0,100000,3351.46065
0,100000,3350.1208
0,100000,3350.1365
0,100000,3350.1454000000003
0,100000,3350.165
0,100000,3350.1678
0,100000,3350.1711999999998
0,100000,3350.77485
0,100000,3350.8197499999997
0,100000,3350.8318499999996
0,100000,3350.84095
0,100000,3350.8503499999997
0,100000,3350.8593499999997
0,100000,3352.737
0,100000,3352.7711
0,100000,3352.783
0,100000,3352.792
0,100000,3352.8010999999997
0,100000,3352.8109
0,100000,3352.5589
0,100000,3352.5897999999997
0,100000,3352.6004999999996
0,100000,3352.6094
0,100000,3352.6177
0,100000,3352.6265
0,100000,3350.8440499999997
0,100000,3350.87805
0,100000,3350.8884499999995
0,100000,3350.8974499999995
0,100000,3350.9060499999996
0,100000,3350.9154499999995
0,100000,3351.5789
0,100000,3351.6139000000003
0,100000,3351.6259
0,100000,3351.6356
0,100000,3351.6449000000002
0,100000,3351.6552
0,100000,3351.41785
0,100000,3351.46375
0,100000,3351.47525
0,100000,3351.48405
0,100000,3351.49255
0,100000,3351.50225
0,100000,3351.8735500000003
0,100000,3351.90835
0,100000,3351.91985
0,100000,3351.92835
0,100000,3351.93775
0,100000,3351.94695
0,100000,3350.6087500000003
0,100000,3350.6430499999997
0,100000,3350.65435
0,100000,3350.66365
0,100000,3350.67295
0,100000,3350.68295
0,100000,3352.6265999999996
0,100000,3352.6652999999997
0,100000,3352.6772
0,100000,3352.6879
0,100000,3352.6979
0,100000,3352.709
0,100000,3351.8652
0,100000,3351.8918000000003
0,100000,3351.8962
0,100000,3351.9
0,100000,3351.9023
0,100000,3351.9052
0,100000,3352.5671500000003
0,100000,3352.60685
0,100000,3352.61895
0,100000,3352.62935
0,100000,3352.64015
0,100000,3352.6521500000003
0,100000,3351.55125
0,100000,3351.56255
0,100000,3351.56585
0,100000,3351.56885
0,100000,3351.57165
0,100000,3351.57495
0,100000,3352.3540000000003
0,100000,3352.3705
0,100000,3352.375
0,100000,3352.3795
0,100000,3351.2691999999997
0,100000,3351.2843000000003
0,100000,3351.2889999999998
0,100000,3351.292
0,100000,3351.2952999999998
0,100000,3351.2983
0,100000,3351.9700000000003
0,100000,3352.0056
0,100000,3352.0177000000003
0,100000,3352.0283
0,100000,3352.0389
0,100000,3352.0493
0,100000,3352.6088
0,100000,3352.6220000000003
0,100000,3352.6258000000003
0,100000,3352.6291
0,100000,3352.6325
0,100000,3352.6359
0,100000,3352.66115
0,100000,3352.71595
0,100000,3352.72345
0,100000,3352.72695
0,100000,3352.73005
0,100000,3352.73335
0,100000,3352.3916500000005
0,100000,3352.4169500000003
0,100000,3352.4219500000004
0,100000,3352.4252500000002
0,100000,3352.4280500000004
0,100000,3352.4318500000004
0,100000,3352.12695
0,100000,3352.16565
0,100000,3352.17735
0,100000,3352.1862499999997
0,100000,3352.19505
0,100000,3352.2044499999997
0,100000,3351.22945
0,100000,3351.24295
0,100000,3351.24685
0,100000,3351.25005
0,100000,3351.25335
0,100000,3351.26395
0,100000,3350.42965
0,100000,3350.43645
0,100000,3350.44015
0,100000,3350.44355
0,100000,3350.4470499999998
0,100000,3350.45035
0,100000,3350.9354999999996
0,100000,3350.9519999999998
0,100000,3350.9565
0,100000,3350.9601999999995
0,100000,3350.9631999999997
0,100000,3350.9669999999996
0,100000,3352.34035
0,100000,3352.36325
0,100000,3352.36765
0,100000,3352.37135
0,100000,3352.3746499999997
0,100000,3352.3782499999998
0,100000,3350.8436999999994
0,100000,3350.8606
0,100000,3350.865
0,100000,3350.8684
0,100000,3350.8714
0,100000,3350.8750999999997
0,100000,3351.6711
0,100000,3351.7068
0,100000,3351.7182000000003
0,100000,3351.7273
0,100000,3351.7361
0,100000,3351.7459
0,100000,3352.1486999999997
0,100000,3352.1835
0,100000,3352.1962000000003
0,100000,3352.205
0,100000,3352.2167
0,100000,3352.2327999999998
0,100000,3353.0122499999998
0,100000,3353.02955
0,100000,3353.03395
0,100000,3353.03705
0,100000,3353.04005
0,100000,3353.04395
0,100000,3353.03885
0,100000,3353.07415
0,100000,3353.08675
0,100000,3353.09685
0,100000,3353.12305
0,100000,3353.12675
0,100000,3350.0546999999997
0,100000,3350.1458
0,100000,3350.1775
0,100000,3350.1827999999996
0,100000,3350.2171
0,100000,3350.2217999999993
0,100000,3352.82935
0,100000,3352.86945
0,100000,3352.88655
0,100000,3352.89845
0,100000,3352.9070500000003
0,100000,3352.9163500000004
0,100000,3352.1143999999995
0,100000,3352.1512999999995
0,100000,3352.1629
0,100000,3352.1717
