cluster,run_index,msg_size,lost,total_msg_packets,loss_rate
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,1,19,0.05263157894736842
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,18,0.1111111111111111
toulouse,0,10000,2,18,0.1111111111111111
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,18,0.1111111111111111
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,1,20,0.05
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,11,0.18181818181818182
toulouse,0,10000,2,17,0.11764705882352941
toulouse,0,10000,2,17,0.11764705882352941
toulouse,1,10000,2,17,0.11764705882352941
toulouse,1,10000,2,17,0.11764705882352941
toulouse,1,10000,2,18,0.1111111111111111
toulouse,1,10000,2,17,0.11764705882352941
toulouse,1,10000,2,17,0.11764705882352941
toulouse,1,10000,2,17,0.11764705882352941
toulouse,1,10000,2,17,0.11764705882352941
toulouse,1,10000,2,17,0.11764705882352941
toulouse,1,10000,2,17,0.11764705882352941
toulouse,1,10000,2,17,0.11764705882352941
toulouse,2,10000,1,20,0.05
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,1,19,0.05263157894736842
toulouse,2,10000,2,18,0.1111111111111111
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,1,20,0.05
toulouse,2,10000,2,19,0.10526315789473684
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,17,0.11764705882352941
toulouse,2,10000,2,18,0.1111111111111111
toulouse,2,10000,2,17,0.11764705882352941
toulouse,3,10000,2,17,0.11764705882352941
toulouse,3,10000,1,12,0.08333333333333333
toulouse,3,10000,2,17,0.11764705882352941
toulouse,3,10000,2,17,0.11764705882352941
toulouse,3,10000,1,12,0.08333333333333333
toulouse,3,10000,2,17,0.11764705882352941
toulouse,3,10000,2,17,0.11764705882352941
toulouse,3,10000,2,17,0.11764705882352941
toulouse,3,10000,2,18,0.1111111111111111
toulouse,3,10000,2,17,0.11764705882352941
toulouse,3,10000,2,17,0.11764705882352941
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,17,0.11764705882352941
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,4,10000,2,16,0.125
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,18,0.1111111111111111
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,19,0.10526315789473684
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,19,0.10526315789473684
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,17,0.11764705882352941
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,16,0.125
toulouse,5,10000,4,21,0.19047619047619047
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,16,0.125
toulouse,5,10000,2,16,0.125
toulouse,6,10000,2,17,0.11764705882352941
toulouse,6,10000,2,17,0.11764705882352941
toulouse,6,10000,2,17,0.11764705882352941
toulouse,6,10000,2,17,0.11764705882352941
toulouse,6,10000,2,17,0.11764705882352941
toulouse,6,10000,2,17,0.11764705882352941
toulouse,6,10000,2,18,0.1111111111111111
toulouse,6,10000,2,20,0.1
toulouse,6,10000,2,17,0.11764705882352941
toulouse,6,10000,2,17,0.11764705882352941
toulouse,6,10000,2,18,0.1111111111111111
toulouse,7,10000,2,21,0.09523809523809523
toulouse,8,10000,2,17,0.11764705882352941
toulouse,8,10000,2,17,0.11764705882352941
toulouse,8,10000,2,17,0.11764705882352941
toulouse,8,10000,2,17,0.11764705882352941
toulouse,8,10000,2,17,0.11764705882352941
toulouse,8,10000,2,17,0.11764705882352941
toulouse,8,10000,2,17,0.11764705882352941
toulouse,9,10000,1,17,0.058823529411764705
toulouse,9,10000,1,17,0.058823529411764705
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
nancy,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
nantes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
rennes,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
toulouse,0,1000000,24,861,0.027874564459930314
