cluster,run_index,msg_size,client_ip,fc_bytes,fc_pkts,uc_bytes,uc_pkts,data_bytes,data_pkts,first_data,last_data,rate_mbps,fc_data_span_ms,aligned,uc_aligned
nancy,0,10000,10.144.12.5,10485,9,13910,15,20677,17,1070.959,1084.6771,12.058229638215161,0.21479999999996835,False,False
nancy,0,10000,10.144.12.50,10485,9,13910,15,20677,17,855.2959,869.7382,11.453577338789492,0.19860000000005584,False,False
nancy,0,10000,10.144.12.51,10485,9,13910,15,20677,17,859.21094,873.22754,11.801435440834501,0.20135999999990872,False,False
nancy,0,10000,10.144.12.52,10485,9,13910,15,20677,17,863.01086,876.48065,12.280518107557736,0.19694000000004053,False,False
nancy,0,10000,10.144.12.53,10485,9,13910,15,20677,17,867.02673,881.66644,11.299130925407734,0.24151999999992313,False,False
nancy,0,10000,10.144.12.54,10485,9,13910,15,20677,17,871.15857,885.3262,11.675629586599944,0.2008699999998953,False,False
nancy,0,10000,10.144.12.55,10485,9,13910,15,20677,17,875.1405,889.429,11.576862511810196,0.11756000000002587,False,False
nancy,0,10000,10.144.12.56,10485,9,13910,15,20677,17,879.0433,893.08704,11.778628769829155,0.12173999999993157,False,False
nancy,0,10000,10.144.12.57,10485,9,13910,15,20677,17,882.9931,897.4245,11.462228196848587,0.12369999999998527,False,False
nancy,0,10000,10.144.12.58,10485,9,13910,15,20677,17,887.1745,901.2347,11.764839760458592,0.19713999999999032,False,False
nancy,0,10000,10.144.12.59,10485,9,13910,15,20677,17,891.36163,905.2831,11.882078544866312,0.23212000000000899,False,False
nancy,0,10000,10.144.12.6,10485,9,13910,15,20677,17,1075.0809,1088.9436,11.932451831172747,0.24469999999996617,False,False
nancy,0,10000,10.144.12.60,10485,9,13910,15,20677,17,895.5103,909.25543,12.034516952549724,0.19623999999998887,False,False
nancy,0,10000,10.144.12.61,10485,9,13910,15,20677,17,899.76685,913.8438,11.750840913692231,0.13835000000005948,False,False
nancy,0,10000,10.144.12.62,10485,9,13910,15,20677,17,1064.518,1078.4894,11.839615213937124,0.3850999999999658,False,False
nancy,0,10000,10.144.12.63,10485,9,13910,15,20677,17,1068.271,1082.7489,11.425413906712919,0.33950000000004366,False,False
