time,cluster,msg_size,smoothed_rtt
38.068153,rennes,10000,19.419127
57.097073,rennes,10000,18.515987
75.78002,rennes,10000,18.42415
94.290825,rennes,10000,18.44979
25.912228,nancy,10000,13.523855
38.848347,nancy,10000,12.298267
51.203106,nancy,10000,12.26559
63.474693,nancy,10000,12.158948
42.397423,nantes,10000,21.953285
62.989937,nantes,10000,20.234167
83.30792,nantes,10000,20.189144
103.59912,nantes,10000,20.157589
45.97359,rennes,10000,26.536554
64.809555,rennes,10000,18.479546
83.31744,rennes,10000,18.403496
101.80057,rennes,10000,18.427843
38.080933,rennes,10000,19.414782
56.884144,rennes,10000,18.437551
75.53735,rennes,10000,18.413023
93.93835,rennes,10000,18.263506
38.304485,rennes,10000,19.536219
57.24905,rennes,10000,18.631516
75.77869,rennes,10000,18.399494
94.26616,rennes,10000,18.4331
37.929054,rennes,10000,19.260475
56.754543,rennes,10000,18.484407
75.33553,rennes,10000,18.481028
93.94281,rennes,10000,18.479502
38.11721,rennes,10000,19.383549
57.307762,rennes,10000,18.720367
76.04676,rennes,10000,18.551805
94.64071,rennes,10000,18.463663
46.42476,rennes,10000,27.25025
65.25885,rennes,10000,18.552765
84.045296,rennes,10000,18.548147
102.72557,rennes,10000,18.552464
47.881927,rennes,10000,29.30431
66.78564,rennes,10000,18.460363
85.31952,rennes,10000,18.429184
103.633934,rennes,10000,18.260403
38.204044,rennes,10000,19.590506
57.039265,rennes,10000,18.525433
75.606834,rennes,10000,18.324041
94.148705,rennes,10000,18.484764
38.02572,rennes,10000,19.329805
56.822697,rennes,10000,18.523058
75.41259,rennes,10000,18.493729
93.99543,rennes,10000,18.456236
38.216473,rennes,10000,19.530165
57.301987,rennes,10000,18.761969
75.90347,rennes,10000,18.502333
94.343636,rennes,10000,18.386343
38.45404,rennes,10000,19.739733
57.352177,rennes,10000,18.531897
75.99271,rennes,10000,18.537584
94.47197,rennes,10000,18.425608
38.957787,rennes,10000,19.62418
57.92646,rennes,10000,18.53578
76.738464,rennes,10000,18.575012
95.34944,rennes,10000,18.483547
40.99676,rennes,10000,22.38028
59.969593,rennes,10000,18.52992
78.52693,rennes,10000,18.45542
97.06894,rennes,10000,18.408325
44.04135,rennes,10000,25.479635
62.983864,rennes,10000,18.562052
81.7184,rennes,10000,18.500134
100.2925,rennes,10000,18.445072
46.145096,rennes,10000,27.403585
65.03128,rennes,10000,18.606533
83.707,rennes,10000,18.438503
102.34261,rennes,10000,18.31785
38.101917,rennes,10000,19.3189
57.084534,rennes,10000,18.582258
75.62115,rennes,10000,18.406002
94.0446,rennes,10000,18.363354
25.681776,nancy,10000,13.02451
38.143898,nancy,10000,12.178213
50.654163,nancy,10000,12.241218
63.048786,nancy,10000,12.233663
25.447899,nancy,10000,13.089346
38.267223,nancy,10000,12.16273
50.526466,nancy,10000,12.111574
62.84187,nancy,10000,12.172945
25.683989,nancy,10000,13.21949
38.319744,nancy,10000,12.316739
50.866447,nancy,10000,12.281215
63.105175,nancy,10000,12.191752
25.553976,nancy,10000,13.133451
38.409313,nancy,10000,12.094116
50.53886,nancy,10000,12.002872
62.947342,nancy,10000,12.262599
38.061623,rennes,10000,19.311737
56.966652,rennes,10000,18.586983
75.652245,rennes,10000,18.438438
94.197685,rennes,10000,18.490927
25.525312,nancy,10000,13.16098
38.350002,nancy,10000,12.181841
50.754128,nancy,10000,12.135057
63.14628,nancy,10000,12.244573
59.02639,nantes,10000,38.239338
79.58462,nantes,10000,20.239937
100.03984,nantes,10000,20.225857
120.14926,nantes,10000,20.039106
62.73327,nantes,10000,40.197544
83.44675,nantes,10000,20.351885
103.73327,nantes,10000,20.174482
123.93573,nantes,10000,20.14149
64.5813,nantes,10000,44.19452
85.13594,nantes,10000,20.240599
105.412125,nantes,10000,20.126202
125.50365,nantes,10000,20.024279
42.394817,nantes,10000,21.9557
63.148663,nantes,10000,20.245779
83.387634,nantes,10000,20.120342
103.69619,nantes,10000,20.200422
42.460533,nantes,10000,22.07695
63.13715,nantes,10000,20.258156
83.3703,nantes,10000,20.097216
103.513466,nantes,10000,20.04571
59.46606,nantes,10000,39.07627
80.05554,nantes,10000,20.283957
100.37918,nantes,10000,20.166409
120.504105,nantes,10000,20.057907
62.78404,nantes,10000,42.24445
83.547066,nantes,10000,20.297995
103.951866,nantes,10000,20.170084
124.24713,nantes,10000,20.163008
66.28705,nantes,10000,44.805405
86.898056,nantes,10000,20.186953
107.21883,nantes,10000,20.19557
127.31144,nantes,10000,20.009848
41.574654,nantes,10000,21.147223
62.411564,nantes,10000,20.260136
82.835976,nantes,10000,20.207188
103.01906,nantes,10000,20.121656
38.008175,rennes,10000,19.432562
56.84795,rennes,10000,18.547659
75.510155,rennes,10000,18.528671
94.03236,rennes,10000,18.39274
41.561172,nantes,10000,21.076153
62.14244,nantes,10000,20.081444
82.444435,nantes,10000,20.171839
102.61269,nantes,10000,20.066696
39.204605,rennes,10000,19.332182
57.99034,rennes,10000,18.50985
76.499985,rennes,10000,18.408916
94.966675,rennes,10000,18.401667
37.835457,rennes,10000,19.29064
56.619125,rennes,10000,18.418272
75.20505,rennes,10000,18.474348
93.66833,rennes,10000,18.33338
38.6681,rennes,10000,20.02245
57.66559,rennes,10000,18.579206
76.304245,rennes,10000,18.44969
94.77414,rennes,10000,18.415659
39.8061,rennes,10000,20.19503
58.764473,rennes,10000,18.579887
77.4248,rennes,10000,18.562351
96.01604,rennes,10000,18.462215
39.014313,rennes,10000,19.43512
58.09019,rennes,10000,18.576908
76.698326,rennes,10000,18.490736
95.31351,rennes,10000,18.485022
57.074158,lyon,10000,38.387814
75.118774,lyon,10000,17.537964
92.81648,lyon,10000,17.436012
110.24601,lyon,10000,17.356537
59.89671,lyon,10000,42.205498
77.747734,lyon,10000,17.574364
95.36999,lyon,10000,17.42548
112.86749,lyon,10000,17.439692
35.767937,lyon,10000,18.250608
53.58875,lyon,10000,17.527512
71.17613,lyon,10000,17.399645
88.67246,lyon,10000,17.358372
37.6344,lyon,10000,19.84716
