cluster,run_index,msg_size,lost,total_msg_packets,loss_rate
rennes,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
rennes,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
lyon,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nantes,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
nancy,4,1000000,25,836,0.029904306220095694
