cluster,run_index,msg_size,lost,total_msg_packets,loss_rate
nancy,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
nantes,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
lyon,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
rennes,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,0,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
nantes,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
lyon,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
rennes,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,1,10000000,29,8206,0.0035339995125517913
nancy,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
nantes,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
lyon,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
rennes,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,2,10000000,29,8202,0.003535722994391612
nancy,3,10000000,80,8221,0.009731176255929936
rennes,3,10000000,103,8198,0.012564040009758477
nancy,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nancy,3,10000000,80,8221,0.009731176255929936
nantes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
nancy,3,10000000,80,8221,0.009731176255929936
nancy,3,10000000,80,8221,0.009731176255929936
nancy,3,10000000,80,8221,0.009731176255929936
nancy,3,10000000,80,8221,0.009731176255929936
nancy,3,10000000,80,8221,0.009731176255929936
nancy,3,10000000,80,8221,0.009731176255929936
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
nancy,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nancy,3,10000000,80,8221,0.009731176255929936
nantes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
rennes,3,10000000,103,8198,0.012564040009758477
nantes,3,10000000,103,8198,0.012564040009758477
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
lyon,3,10000000,80,8221,0.009731176255929936
