time,cluster,msg_size,smoothed_rtt
0.022468,lyon,1000,333.0
1029.5186,lyon,1000,15.015959
1044.0598,lyon,1000,14.891883
1058.9739,lyon,1000,14.777106
1072.8625,lyon,1000,14.653284
5074.468,lyon,1000,333.0
0.017361,nancy,1000,333.0
18.794806,nancy,1000,9.941096
28.371454,nancy,1000,9.799736
37.770267,nancy,1000,9.657265
46.42811,nancy,1000,9.525869
5155.691,nancy,1000,333.0
0.034221,rennes,1000,333.0
31.06555,rennes,1000,15.877628
46.352818,rennes,1000,15.760634
62.12079,rennes,1000,15.643677
77.08411,rennes,1000,15.548515
4854.5913,rennes,1000,333.0
0.016627,rennes,1000,333.0
30.899595,rennes,1000,15.831264
46.22971,rennes,1000,15.725868
61.95439,rennes,1000,15.608485
76.96586,rennes,1000,15.516673
5044.8096,rennes,1000,333.0
0.025662001,rennes,1000,333.0
30.804476,rennes,1000,15.73596
46.056778,rennes,1000,15.636671
61.618717,rennes,1000,15.536044
76.45207,rennes,1000,15.4413805
5049.455,rennes,1000,333.0
0.017993,rennes,1000,333.0
30.840397,rennes,1000,15.814226
46.023586,rennes,1000,15.700856
61.794773,rennes,1000,15.5901165
76.675705,rennes,1000,15.493694
5054.8916,rennes,1000,333.0
0.018704,rennes,1000,333.0
30.901373,rennes,1000,15.871113
46.355186,rennes,1000,15.758962
61.83494,rennes,1000,15.630869
76.69155,rennes,1000,15.523974
5059.547,rennes,1000,333.0
0.029056,rennes,1000,333.0
30.871256,rennes,1000,15.750909
46.277218,rennes,1000,15.64882
61.985916,rennes,1000,15.551674
76.953804,rennes,1000,15.462164
5063.945,rennes,1000,333.0
0.022477,nantes,1000,333.0
34.278656,nantes,1000,17.437809
51.07401,nantes,1000,17.316208
68.502365,nantes,1000,17.220926
85.24,nantes,1000,17.142574
5017.107,nantes,1000,333.0
0.024895,nantes,1000,333.0
34.31447,nantes,1000,17.477905
51.264114,nantes,1000,17.369795
68.83373,nantes,1000,17.259264
