cluster,msg_size,time
lyon,1000,4930.581
nancy,1000,5094.2466
lyon,1000,4935.26
nancy,1000,4996.7
nancy,1000,5001.7217
nancy,1000,5005.6055
nancy,1000,5009.966
nancy,1000,5012.94
nancy,1000,5012.461
nancy,1000,5016.1494
nancy,1000,5020.5728
nancy,1000,5024.0884
nancy,1000,5098.6987
nancy,1000,5027.568
rennes,1000,4932.089
rennes,1000,4937.2236
rennes,1000,4941.4033
rennes,1000,4946.624
rennes,1000,4951.952
lyon,1000,4908.3813
lyon,1000,4913.87
lyon,1000,4919.367
lyon,1000,4926.084
nancy,1000,5102.7246
lyon,1000,4932.497
rennes,1000,4937.9785
rennes,1000,4942.248
rennes,1000,4947.0835
rennes,1000,4951.6494
rennes,1000,4956.6
nantes,1000,4852.499
nantes,1000,4858.325
nantes,1000,4862.98
nantes,1000,4869.72
nancy,1000,5106.107
nantes,1000,4875.5337
nancy,1000,4984.2046
nancy,1000,4989.0835
nancy,1000,4992.045
nancy,1000,4997.103
nancy,1000,5001.713
rennes,1000,4877.2993
rennes,1000,4881.815
rennes,1000,4886.977
rennes,1000,4891.7725
lyon,1000,5126.3936
nancy,1000,5223.9863
rennes,1000,4944.271
rennes,1000,5130.8584
rennes,1000,5136.3247
rennes,1000,5140.497
rennes,1000,5145.759
rennes,1000,5150.1167
nantes,1000,5079.1084
nantes,1000,5084.8965
nantes,1000,5089.769
nantes,1000,5096.9585
lyon,1000,5132.474
nantes,1000,5103.082
nantes,1000,5059.2886
nantes,1000,5065.903
nantes,1000,5070.976
nantes,1000,5077.3887
nantes,1000,5082.9355
nancy,1000,5180.4775
nancy,1000,5184.699
nancy,1000,5189.197
nancy,1000,5192.8926
lyon,1000,5137.2295
nancy,1000,5197.464
lyon,1000,5056.4873
lyon,1000,5061.3735
lyon,1000,5066.975
lyon,1000,5073.8765
lyon,1000,5078.7886
lyon,1000,5032.9727
lyon,1000,5038.973
lyon,1000,5043.8833
lyon,1000,5050.135
lyon,1000,5144.3687
lyon,1000,5056.1353
rennes,1000,5050.4434
rennes,1000,5054.89
rennes,1000,5059.1665
rennes,1000,5064.503
rennes,1000,5069.4146
nantes,1000,5003.5767
nantes,1000,5010.065
nantes,1000,5015.396
nantes,1000,5022.4106
lyon,1000,5150.032
nantes,1000,5028.646
nantes,1000,5000.1943
nantes,1000,5005.0083
nantes,1000,5012.4155
nantes,1000,5016.593
nantes,1000,5023.531
lyon,1000,4999.3486
lyon,1000,5005.598
lyon,1000,5010.262
lyon,1000,5017.613
nancy,1000,5208.503
lyon,1000,5022.865
nancy,1000,5075.289
nancy,1000,5079.1777
nancy,1000,5083.375
nancy,1000,5087.1284
nancy,1000,5091.646
nancy,1000,5083.2295
nancy,1000,5086.59
nancy,1000,5090.784
nancy,1000,5094.3813
nancy,1000,5211.985
nancy,1000,5098.4146
rennes,1000,4980.6147
rennes,1000,4985.8374
rennes,1000,4990.4673
rennes,1000,4996.023
rennes,1000,5000.511
lyon,1000,4943.47
lyon,1000,4949.2036
lyon,1000,4954.2886
lyon,1000,4960.635
nancy,1000,5216.2466
lyon,1000,4966.3823
rennes,1000,4967.605
rennes,1000,4972.001
rennes,1000,4976.8076
rennes,1000,4981.745
rennes,1000,4986.173
nantes,1000,4910.28
nantes,1000,4916.552
nantes,1000,4921.7095
nantes,1000,4928.104
nancy,1000,5219.9033
nantes,1000,4934.269
nancy,1000,5009.996
nancy,1000,5013.57
nancy,1000,5017.4673
nancy,1000,5022.07
nancy,1000,5025.7505
rennes,1000,4925.0435
rennes,1000,4930.3066
rennes,1000,4934.3613
rennes,1000,4940.524
lyon,1000,5101.6885
nancy,1000,5195.59
rennes,1000,4924.4976
rennes,1000,5086.27
rennes,1000,5090.752
rennes,1000,5095.297
rennes,1000,5099.8555
rennes,1000,5105.138
nantes,1000,5058.7256
nantes,1000,5065.517
nantes,1000,5070.7065
nantes,1000,5077.9023
