time,run_index,msg_size,cwnd
4590.5596,0,100000,14850
4600.8867,0,100000,10395
4614.7485,0,100000,11745
4661.7607,0,100000,13095
4711.4907,0,100000,14445
4618.163,1,100000,14850
4628.6567,1,100000,10395
4642.9463,1,100000,11745
4690.9653,1,100000,13095
4740.331,1,100000,14445
4615.7866,2,100000,14850
4626.8345,2,100000,10395
4671.5737,2,100000,11745
4718.2188,2,100000,13095
4765.929,2,100000,14445
4632.7554,3,100000,14850
4642.185,3,100000,10395
4656.7476,3,100000,11745
4697.9053,3,100000,13095
4744.627,3,100000,14445
4584.063,4,100000,14850
4595.02,4,100000,10395
4639.0464,4,100000,11745
4685.9937,4,100000,13095
4583.876,5,100000,14850
4593.213,5,100000,10395
4604.671,5,100000,11745
4653.0386,5,100000,13095
4701.1343,5,100000,14445
4588.1157,6,100000,14850
4598.1875,6,100000,10395
4633.792,6,100000,11745
4681.0757,6,100000,13095
4728.861,6,100000,14445
4610.6157,7,100000,14850
4636.2085,7,100000,10395
4706.686,7,100000,11745
4754.61,7,100000,13095
4602.245,8,100000,14850
4626.7124,8,100000,10395
4697.576,8,100000,11745
4746.255,8,100000,13095
4605.2856,9,100000,14850
4616.0386,9,100000,10395
4660.6216,9,100000,11745
4706.989,9,100000,13095
4754.405,9,100000,14445
4599.14,0,1000000,14850
4624.4253,0,1000000,10395
4673.026,0,1000000,11745
4721.276,0,1000000,13095
4774.535,0,1000000,14445
4823.3877,0,1000000,15795
4847.664,0,1000000,17145
4872.7773,0,1000000,18495
4899.0107,0,1000000,19845
4923.796,0,1000000,21195
4949.087,0,1000000,22545
4974.6724,0,1000000,23895
5000.281,0,1000000,25245
5025.899,0,1000000,26595
5051.1665,0,1000000,27945
5076.8433,0,1000000,29295
5102.9087,0,1000000,30645
5131.942,0,1000000,31995
5159.0854,0,1000000,33345
5186.7407,0,1000000,34695
5213.6562,0,1000000,36045
5241.5215,0,1000000,37395
5270.114,0,1000000,38745
5298.191,0,1000000,40095
5326.9443,0,1000000,41445
5354.8545,0,1000000,42795
5384.1567,0,1000000,44145
5413.7964,0,1000000,45495
5443.8867,0,1000000,46845
5474.239,0,1000000,48195
5504.3687,0,1000000,49545
5534.122,0,1000000,50895
5564.732,0,1000000,52245
4608.34,1,1000000,14850
4631.0327,1,1000000,10395
4660.3936,1,1000000,11745
4709.74,1,1000000,13095
4758.1978,1,1000000,14445
4809.159,1,1000000,15795
4833.5747,1,1000000,17145
4861.1367,1,1000000,18495
4885.9595,1,1000000,19845
4912.4634,1,1000000,21195
4937.0938,1,1000000,22545
4961.6665,1,1000000,23895
4986.744,1,1000000,25245
5012.9575,1,1000000,26595
5038.1465,1,1000000,27945
5063.6514,1,1000000,29295
5088.726,1,1000000,30645
5118.7524,1,1000000,31995
5145.8794,1,1000000,33345
5171.7554,1,1000000,34695
5200.3853,1,1000000,36045
5236.2617,1,1000000,37395
5263.6245,1,1000000,38745
5292.014,1,1000000,40095
5320.0522,1,1000000,41445
5348.516,1,1000000,42795
5377.045,1,1000000,44145
5405.566,1,1000000,45495
5434.54,1,1000000,46845
5462.883,1,1000000,48195
5492.0054,1,1000000,49545
5521.277,1,1000000,50895
5554.8384,1,1000000,52245
4608.941,2,1000000,14850
4634.2783,2,1000000,10395
4706.281,2,1000000,11745
4754.06,2,1000000,13095
4804.894,2,1000000,14445
4853.8765,2,1000000,15795
4878.9634,2,1000000,17145
4902.9775,2,1000000,18495
4926.9663,2,1000000,19845
4952.3086,2,1000000,21195
4977.468,2,1000000,22545
5003.813,2,1000000,23895
5029.0293,2,1000000,25245
5054.5303,2,1000000,26595
5079.4443,2,1000000,27945
5105.321,2,1000000,29295
5130.6294,2,1000000,30645
5157.734,2,1000000,31995
5184.453,2,1000000,33345
5211.3306,2,1000000,34695
5242.661,2,1000000,36045
5279.4707,2,1000000,37395
5317.985,2,1000000,38745
5345.96,2,1000000,40095
5374.2974,2,1000000,41445
5402.659,2,1000000,42795
5432.224,2,1000000,44145
5462.6665,2,1000000,45495
5492.9165,2,1000000,46845
5522.126,2,1000000,48195
5551.8384,2,1000000,49545
5580.9595,2,1000000,50895
5610.9287,2,1000000,52245
4600.5854,3,1000000,14850
4622.943,3,1000000,10395
4648.8164,3,1000000,11745
4700.315,3,1000000,13095
4753.952,3,1000000,14445
4810.4565,3,1000000,15795
4837.104,3,1000000,17145
4862.8687,3,1000000,18495
4890.05,3,1000000,19845
4918.911,3,1000000,21195
4945.054,3,1000000,22545
4970.23,3,1000000,23895
4995.4194,3,1000000,25245
5021.0317,3,1000000,26595
5050.3906,3,1000000,27945
5079.2114,3,1000000,29295
5109.2993,3,1000000,30645
5135.034,3,1000000,31995
5161.567,3,1000000,33345
5188.736,3,1000000,34695
5214.771,3,1000000,36045
5251.5645,3,1000000,37395
5279.4478,3,1000000,38745
5307.6094,3,1000000,40095
5336.0986,3,1000000,41445
5364.6753,3,1000000,42795
5393.2764,3,1000000,44145
5422.213,3,1000000,45495
5451.171,3,1000000,46845
5480.805,3,1000000,48195
5510.5483,3,1000000,49545
5540.285,3,1000000,50895
5569.588,3,1000000,52245
4625.205,4,1000000,14850
4651.054,4,1000000,10395
4676.6704,4,1000000,11745
4726.3555,4,1000000,13095
4778.2476,4,1000000,14445
4830.359,4,1000000,15795
4857.757,4,1000000,17145
4885.6206,4,1000000,18495
4917.7437,4,1000000,19845
4948.622,4,1000000,21195
4979.243,4,1000000,22545
5012.185,4,1000000,23895
5045.1777,4,1000000,25245
5080.8765,4,1000000,26595
5114.7124,4,1000000,27945
5140.727,4,1000000,29295
5166.9062,4,1000000,30645
5193.0,4,1000000,31995
5219.4526,4,1000000,33345
5245.698,4,1000000,34695
5274.2886,4,1000000,36045
5309.212,4,1000000,37395
5344.9873,4,1000000,38745
5374.0073,4,1000000,40095
5401.623,4,1000000,41445
5429.1704,4,1000000,42795
5457.387,4,1000000,44145
5486.7466,4,1000000,45495
5515.6045,4,1000000,46845
5546.591,4,1000000,48195
5575.9644,4,1000000,49545
5607.3335,4,1000000,50895
5638.0283,4,1000000,52245
4619.4,5,1000000,14850
4630.554,5,1000000,10395
4651.7554,5,1000000,11745
4703.189,5,1000000,13095
4754.371,5,1000000,14445
4804.18,5,1000000,15795
4830.036,5,1000000,17145
4854.123,5,1000000,18495
4878.4194,5,1000000,19845
4902.9185,5,1000000,21195
4927.299,5,1000000,22545
4956.735,5,1000000,23895
4982.6055,5,1000000,25245
5007.307,5,1000000,26595
5032.866,5,1000000,27945
5058.974,5,1000000,29295
5084.496,5,1000000,30645
5110.127,5,1000000,31995
5136.9478,5,1000000,33345
5163.3394,5,1000000,34695
5189.328,5,1000000,36045
5224.4883,5,1000000,37395
5251.0884,5,1000000,38745
5278.673,5,1000000,40095
5305.959,5,1000000,41445
5333.3467,5,1000000,42795
5360.986,5,1000000,44145
5390.0454,5,1000000,45495
5418.334,5,1000000,46845
5446.7227,5,1000000,48195
5475.4897,5,1000000,49545
5504.35,5,1000000,50895
5533.627,5,1000000,52245
4621.106,6,1000000,14850
4647.661,6,1000000,10395
4721.0356,6,1000000,11745
4769.337,6,1000000,13095
4818.8726,6,1000000,14445
4869.1177,6,1000000,15795
4895.8647,6,1000000,17145
4922.8687,6,1000000,18495
4950.0093,6,1000000,19845
4974.817,6,1000000,21195
5003.592,6,1000000,22545
5029.0425,6,1000000,23895
5054.2534,6,1000000,25245
5078.982,6,1000000,26595
5104.0537,6,1000000,27945
5129.9575,6,1000000,29295
5155.846,6,1000000,30645
5182.666,6,1000000,31995
5210.574,6,1000000,33345
5237.39,6,1000000,34695
5263.2583,6,1000000,36045
5298.772,6,1000000,37395
5331.041,6,1000000,38745
5358.9375,6,1000000,40095
5387.5186,6,1000000,41445
5415.033,6,1000000,42795
5444.208,6,1000000,44145
5472.355,6,1000000,45495
5500.926,6,1000000,46845
5529.3413,6,1000000,48195
5559.02,6,1000000,49545
5589.592,6,1000000,50895
4572.1006,7,1000000,14850
4584.3315,7,1000000,10395
4634.2603,7,1000000,11745
4684.9585,7,1000000,13095
4737.098,7,1000000,14445
4787.1455,7,1000000,15795
4811.025,7,1000000,17145
4837.5625,7,1000000,18495
4865.809,7,1000000,19845
4893.6133,7,1000000,21195
4918.3716,7,1000000,22545
4943.1533,7,1000000,23895
4968.298,7,1000000,25245
4993.8755,7,1000000,26595
5018.976,7,1000000,27945
5044.8887,7,1000000,29295
5072.031,7,1000000,30645
5099.0967,7,1000000,31995
5126.596,7,1000000,33345
5153.7163,7,1000000,34695
5180.8354,7,1000000,36045
5217.6333,7,1000000,37395
5245.253,7,1000000,38745
5275.1587,7,1000000,40095
5303.9043,7,1000000,41445
5333.408,7,1000000,42795
5362.8115,7,1000000,44145
5391.0728,7,1000000,45495
5420.1987,7,1000000,46845
5454.959,7,1000000,48195
5484.5625,7,1000000,49545
5514.868,7,1000000,50895
5544.7656,7,1000000,52245
4612.5293,8,1000000,14850
4624.3706,8,1000000,10395
4646.4497,8,1000000,11745
4694.5186,8,1000000,13095
4745.388,8,1000000,14445
4794.522,8,1000000,15795
4818.4346,8,1000000,17145
4842.6235,8,1000000,18495
4867.304,8,1000000,19845
4892.892,8,1000000,21195
4917.837,8,1000000,22545
4942.4824,8,1000000,23895
4967.6724,8,1000000,25245
4993.2627,8,1000000,26595
5018.512,8,1000000,27945
5043.939,8,1000000,29295
5069.773,8,1000000,30645
5095.8555,8,1000000,31995
5125.447,8,1000000,33345
5152.826,8,1000000,34695
5180.0137,8,1000000,36045
5216.4014,8,1000000,37395
5253.6035,8,1000000,38745
5281.3755,8,1000000,40095
5309.8857,8,1000000,41445
5337.8423,8,1000000,42795
5366.0044,8,1000000,44145
5394.4033,8,1000000,45495
5422.608,8,1000000,46845
5451.387,8,1000000,48195
5480.7637,8,1000000,49545
5510.369,8,1000000,50895
5540.312,8,1000000,52245
4629.205,9,1000000,14850
4641.0376,9,1000000,10395
4687.013,9,1000000,11745
4736.6465,9,1000000,13095
4785.799,9,1000000,14445
4834.7617,9,1000000,15795
4858.699,9,1000000,17145
4884.6177,9,1000000,18495
4909.337,9,1000000,19845
4934.0063,9,1000000,21195
4958.75,9,1000000,22545
4984.0986,9,1000000,23895
5009.9355,9,1000000,25245
5035.814,9,1000000,26595
5060.8965,9,1000000,27945
5087.217,9,1000000,29295
5113.082,9,1000000,30645
5139.197,9,1000000,31995
5165.807,9,1000000,33345
5192.8516,9,1000000,34695
5219.949,9,1000000,36045
5255.9316,9,1000000,37395
5284.669,9,1000000,38745
5312.5703,9,1000000,40095
5340.6094,9,1000000,41445
5368.648,9,1000000,42795
5397.3823,9,1000000,44145
5426.0884,9,1000000,45495
5455.9385,9,1000000,46845
5486.8647,9,1000000,48195
5516.963,9,1000000,49545
5557.268,9,1000000,50895
5588.9155,9,1000000,52245
4621.5635,0,10000000,14850
4637.5,0,10000000,10395
4726.3267,0,10000000,11745
4817.1396,0,10000000,13095
4909.667,0,10000000,14445
4996.311,0,10000000,15795
5060.41,0,10000000,17145
5091.0137,0,10000000,18495
5125.2314,0,10000000,19845
5161.1406,0,10000000,21195
5198.9194,0,10000000,22545
5238.239,0,10000000,23895
5279.5303,0,10000000,25245
5322.184,0,10000000,26595
5367.139,0,10000000,27945
5458.194,0,10000000,29295
5502.36,0,10000000,30645
5551.048,0,10000000,31995
5658.679,0,10000000,33345
5706.3076,0,10000000,34695
5758.3994,0,10000000,36045
5862.1045,0,10000000,37395
5912.547,0,10000000,38745
5969.744,0,10000000,40095
6079.247,0,10000000,41445
6133.872,0,10000000,42795
6195.2437,0,10000000,44145
6312.16,0,10000000,45495
6370.225,0,10000000,46845
6435.806,0,10000000,48195
6559.8804,0,10000000,49545
6621.8833,0,10000000,50895
6691.146,0,10000000,52245
6823.753,0,10000000,53595
6888.5234,0,10000000,54945
6962.4517,0,10000000,56295
7102.3555,0,10000000,57645
7170.995,0,10000000,58995
7248.8677,0,10000000,60345
7397.4077,0,10000000,61695
7469.5513,0,10000000,63045
7551.2886,0,10000000,64395
7706.0776,0,10000000,65745
7781.111,0,10000000,67095
7869.867,0,10000000,68445
7996.476,0,10000000,69795
8089.9536,0,10000000,71145
8277.796,0,10000000,72495
8369.025,0,10000000,73845
8469.707,0,10000000,75195
8660.246,0,10000000,76545
8753.045,0,10000000,77895
8856.651,0,10000000,79245
9052.755,0,10000000,80595
9148.768,0,10000000,81945
9254.518,0,10000000,83295
9459.686,0,10000000,84645
9558.335,0,10000000,85995
9668.583,0,10000000,87345
9879.569,0,10000000,88695
9980.635,0,10000000,90045
10091.816,0,10000000,91395
10306.551,0,10000000,92745
10410.513,0,10000000,94095
10526.611,0,10000000,95445
10746.343,0,10000000,96795
10852.903,0,10000000,98145
10971.993,0,10000000,99495
11200.804,0,10000000,100845
11313.225,0,10000000,102195
11436.438,0,10000000,103545
11668.752,0,10000000,104895
11779.575,0,10000000,106245
11904.659,0,10000000,107595
12141.877,0,10000000,108945
12255.577,0,10000000,110295
12383.724,0,10000000,111645
12625.414,0,10000000,112995
12740.577,0,10000000,114345
