cluster,run_index,msg_size,lost,total_msg_packets,loss_rate
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
rennes,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
lyon,1,1000000,24,859,0.027939464493597205
