index,build,test_index,y_LATENCY,run_index
0,Local,0,16067.0,0
1,Local,0,16095.0,1
2,Local,0,15862.0,2
3,Local,0,15872.0,3
4,Local,0,15995.0,4
5,Local,0,16094.0,5
6,Local,0,16142.0,6
7,Local,0,16179.0,7
8,Local,0,15910.0,8
9,Local,0,15937.0,9
10,Local,0,16118.0,10
11,Local,0,16148.0,11
12,Local,0,15972.0,12
13,Local,0,16080.0,13
14,Local,0,15867.0,14
15,Local,0,15885.0,15
