run_index,msg_size,time
0,100000,3638.7446
0,100000,3638.7898
0,100000,3638.8015
0,100000,3638.8123
0,100000,3638.8221
0,100000,3638.8321
0,100000,3638.9563000000003
0,100000,3638.9905000000003
0,100000,3639.0012
0,100000,3639.01
0,100000,3639.0186000000003
0,100000,3639.0281
0,100000,3639.3397999999997
0,100000,3639.3842
0,100000,3639.3968999999997
0,100000,3639.4062
0,100000,3639.415
0,100000,3639.4245
0,100000,3640.6124
0,100000,3640.6277
0,100000,3640.6316
0,100000,3640.6348000000003
0,100000,3640.6377
0,100000,3640.6414
0,100000,3640.2796999999996
0,100000,3640.2925999999998
0,100000,3640.2967999999996
0,100000,3640.3007
0,100000,3640.4577
0,100000,3640.4622
0,100000,3640.5527
0,100000,3640.5735000000004
0,100000,3640.5783
0,100000,3640.5822000000003
0,100000,3640.5857
0,100000,3640.5895
0,100000,3637.7369999999996
0,100000,3637.7605
0,100000,3637.7708
0,100000,3637.7803
0,100000,3637.7888
0,100000,3637.7985999999996
0,100000,3638.7116
0,100000,3638.7296
0,100000,3638.7346000000002
0,100000,3638.7380000000003
0,100000,3638.7411
0,100000,3638.7450000000003
0,100000,3639.9879
0,100000,3640.0235000000002
0,100000,3640.036
0,100000,3640.0453
0,100000,3640.0548000000003
0,100000,3640.0645
0,100000,3638.5861
0,100000,3638.6040000000003
0,100000,3638.609
0,100000,3638.6125
0,100000,3638.6157000000003
0,100000,3638.6196
0,100000,3640.5472
0,100000,3640.5823
0,100000,3640.5942
0,100000,3640.6038
0,100000,3640.6132
0,100000,3640.6229
0,100000,3639.5341000000003
0,100000,3639.5498000000002
0,100000,3639.5539000000003
0,100000,3639.5578
0,100000,3639.5615000000003
0,100000,3639.5649000000003
0,100000,3637.9174
0,100000,3637.9377
0,100000,3637.9474999999998
0,100000,3637.9575
0,100000,3637.9672
0,100000,3637.978
0,100000,3640.5913
0,100000,3640.625
0,100000,3640.6357
0,100000,3640.6448
0,100000,3640.6533
0,100000,3640.6625999999997
0,100000,3639.3818
0,100000,3639.3979
0,100000,3639.4030000000002
0,100000,3639.4072
0,100000,3639.4108
0,100000,3639.4147000000003
0,100000,3639.2021
0,100000,3639.2334
0,100000,3639.2387
0,100000,3639.2422
0,100000,3639.2458
0,100000,3639.2496
0,100000,3637.9437
0,100000,3637.9637
0,100000,3637.9748999999997
0,100000,3637.9851999999996
0,100000,3637.9957
0,100000,3638.0058999999997
0,100000,3638.2084999999997
0,100000,3638.2431
0,100000,3638.2551
0,100000,3638.2641
0,100000,3638.2735
0,100000,3638.2831
0,100000,3638.5353
0,100000,3638.5505
0,100000,3638.5553
0,100000,3638.5585
0,100000,3638.5623
0,100000,3638.5659
0,100000,3638.9047
0,100000,3638.9201000000003
0,100000,3638.9247
0,100000,3638.9287
0,100000,3638.9323
0,100000,3638.9359
0,100000,3639.3722000000002
0,100000,3639.3900000000003
0,100000,3639.3936000000003
0,100000,3639.3971000000006
0,100000,3639.4005
0,100000,3639.4039000000002
0,100000,3639.14
0,100000,3639.156
0,100000,3639.1596
0,100000,3639.163
0,100000,3639.1667
0,100000,3640.0894
0,100000,3640.1049
0,100000,3640.1223999999997
0,100000,3640.1259
0,100000,3640.1288999999997
0,100000,3640.1321999999996
0,100000,3639.6883000000003
0,100000,3639.7231
0,100000,3639.7346000000002
0,100000,3639.7441
0,100000,3639.7539
0,100000,3639.7639
0,100000,3637.091
0,100000,3637.1025
0,100000,3637.1061999999997
0,100000,3637.1099
0,100000,3637.1133
0,100000,3637.1167
0,100000,3640.0498000000002
0,100000,3640.0873
0,100000,3640.0922000000005
0,100000,3640.0953000000004
0,100000,3640.0988
0,100000,3640.108
0,100000,3638.9371
0,100000,3638.9512999999997
0,100000,3638.9557
0,100000,3638.9589
0,100000,3638.9622999999997
0,100000,3638.966
0,100000,3637.929
0,100000,3637.9446000000003
0,100000,3637.9480000000003
0,100000,3637.9502
0,100000,3637.953
0,100000,3637.956
0,100000,3637.8068000000003
0,100000,3637.8210000000004
0,100000,3637.8254
0,100000,3637.8288000000002
0,100000,3637.8320000000003
0,100000,3637.8354000000004
0,100000,3640.5323999999996
0,100000,3640.5670999999998
0,100000,3640.5800999999997
0,100000,3640.5903
0,100000,3640.6000999999997
0,100000,3640.6097999999997
0,100000,3637.764
0,100000,3637.7793
0,100000,3637.7837
0,100000,3637.7871999999998
0,100000,3637.7905
0,100000,3637.794
0,100000,3639.3977
0,100000,3639.4316
0,100000,3639.4418
0,100000,3639.4504
0,100000,3639.4587
0,100000,3639.4677
0,100000,3637.5098
0,100000,3637.5168
0,100000,3637.5433999999996
0,100000,3637.5478
0,100000,3637.5512999999996
0,100000,3637.5546999999997
0,100000,3638.712
0,100000,3638.7612
0,100000,3638.7658
0,100000,3638.7691999999997
0,100000,3638.7727
0,100000,3638.776
0,100000,3640.0295
0,100000,3640.0437
0,100000,3640.0481
0,100000,3640.0515
0,100000,3640.0544
0,100000,3640.0579000000002
0,100000,3639.6911999999998
0,100000,3639.7264999999998
0,100000,3639.739
0,100000,3639.7491
0,100000,3639.7592999999997
0,100000,3639.7695
0,100000,3640.2495
0,100000,3640.3073999999997
0,100000,3640.314
0,100000,3640.3169
0,100000,3640.3201
0,100000,3640.3232
0,100000,3639.6376999999998
0,100000,3639.691
0,100000,3639.7032
0,100000,3639.7129
0,100000,3639.7216999999996
0,100000,3639.7317
0,100000,3640.5589000000004
0,100000,3640.5807000000004
0,100000,3640.5856000000003
0,100000,3640.5879000000004
0,100000,3640.5909
0,100000,3640.5941000000003
0,100000,3638.9159999999997
0,100000,3638.9507
0,100000,3638.9631
0,100000,3638.9726
0,100000,3638.9818
0,100000,3638.9924
0,100000,3637.3015
0,100000,3637.3619999999996
0,100000,3637.3689999999997
0,100000,3637.374
0,100000,3637.379
0,100000,3637.3838
0,100000,3639.4502
0,100000,3639.4854000000005
0,100000,3639.4979000000003
0,100000,3639.5079000000005
0,100000,3639.5171000000005
0,100000,3639.5274000000004
0,100000,3639.1675999999998
0,100000,3639.2047
0,100000,3639.2166999999995
0,100000,3639.2259
0,100000,3639.2346999999995
0,100000,3639.2441999999996
0,100000,3638.1485
0,100000,3638.1735
0,100000,3638.1785
0,100000,3638.1811
0,100000,3638.1843
0,100000,3638.1872
0,100000,3637.3311
0,100000,3637.3415999999997
0,100000,3637.3458
0,100000,3637.3489
0,100000,3637.3529
0,100000,3637.3559
0,100000,3638.2706
0,100000,3638.2866
0,100000,3638.2899999999995
0,100000,3638.2925999999998
0,100000,3638.2955999999995
0,100000,3638.2985999999996
0,100000,3639.7916999999998
0,100000,3639.8278
