time,run_index,msg_size,cwnd
3626.472,0,100000,14850
3636.9639,0,100000,10395
3674.3145,0,100000,11745
3722.361,0,100000,13095
3770.6328,0,100000,14445
3622.8418,1,100000,14850
3645.2126,1,100000,10395
3692.316,1,100000,11745
3740.0583,1,100000,13095
3788.9807,1,100000,14445
3628.0037,2,100000,14850
3638.8643,2,100000,10395
3658.9543,2,100000,11745
3709.8071,2,100000,13095
3759.0918,2,100000,14445
3637.5308,3,100000,14850
3660.2866,3,100000,10395
3707.408,3,100000,11745
3755.1829,3,100000,13095
3803.2717,3,100000,14445
3636.6067,4,100000,14850
3647.225,4,100000,10395
3661.1138,4,100000,11745
3708.934,4,100000,13095
3758.1606,4,100000,14445
3622.1152,5,100000,14850
3643.9216,5,100000,10395
3690.8042,5,100000,11745
3739.3176,5,100000,13095
3788.3452,5,100000,14445
3604.2002,6,100000,14850
3614.8906,6,100000,10395
3657.8113,6,100000,11745
3706.129,6,100000,13095
3627.7017,7,100000,14850
3636.9756,7,100000,10395
3675.8455,7,100000,11745
3725.979,7,100000,13095
3774.813,7,100000,14445
3632.5188,8,100000,14850
3642.5713,8,100000,10395
3653.601,8,100000,11745
3703.922,8,100000,13095
3752.488,8,100000,14445
3614.2766,9,100000,14850
3624.8403,9,100000,10395
3639.4167,9,100000,11745
3685.916,9,100000,13095
3733.35,9,100000,14445
3627.8792,0,1000000,14850
3639.692,0,1000000,10395
3684.6433,0,1000000,11745
3734.264,0,1000000,13095
3782.918,0,1000000,14445
3830.6863,0,1000000,15795
3854.974,0,1000000,17145
3879.664,0,1000000,18495
3904.4314,0,1000000,19845
3929.0823,0,1000000,21195
3953.5967,0,1000000,22545
3978.0894,0,1000000,23895
4002.8682,0,1000000,25245
4028.2122,0,1000000,26595
4054.081,0,1000000,27945
4079.7805,0,1000000,29295
4106.0474,0,1000000,30645
4132.2734,0,1000000,31995
4159.471,0,1000000,33345
4186.008,0,1000000,34695
4213.3887,0,1000000,36045
4249.1274,0,1000000,37395
4276.1177,0,1000000,38745
4303.566,0,1000000,40095
4331.9907,0,1000000,41445
4359.7456,0,1000000,42795
4387.9697,0,1000000,44145
4416.076,0,1000000,45495
4445.951,0,1000000,46845
4474.9688,0,1000000,48195
4504.4106,0,1000000,49545
4534.029,0,1000000,50895
4564.4214,0,1000000,52245
3623.2288,1,1000000,14850
3646.5552,1,1000000,10395
3696.1504,1,1000000,11745
3744.8137,1,1000000,13095
3792.795,1,1000000,14445
3842.3118,1,1000000,15795
3866.3218,1,1000000,17145
3890.879,1,1000000,18495
3915.343,1,1000000,19845
3939.7927,1,1000000,21195
3967.3367,1,1000000,22545
3994.8325,1,1000000,23895
4022.662,1,1000000,25245
4050.0369,1,1000000,26595
4079.6084,1,1000000,27945
4109.2876,1,1000000,29295
4135.399,1,1000000,30645
4161.6406,1,1000000,31995
4187.979,1,1000000,33345
4215.4375,1,1000000,34695
4243.285,1,1000000,36045
4280.3267,1,1000000,37395
4316.54,1,1000000,38745
4344.016,1,1000000,40095
4371.8184,1,1000000,41445
4400.9756,1,1000000,42795
4428.8716,1,1000000,44145
4456.9585,1,1000000,45495
4485.4385,1,1000000,46845
4514.8384,1,1000000,48195
4544.853,1,1000000,49545
4574.351,1,1000000,50895
3611.8457,2,1000000,14850
3635.664,2,1000000,10395
3684.555,2,1000000,11745
3733.3174,2,1000000,13095
3782.161,2,1000000,14445
3830.9932,2,1000000,15795
3855.1992,2,1000000,17145
3879.6816,2,1000000,18495
3905.605,2,1000000,19845
3933.6353,2,1000000,21195
3961.5288,2,1000000,22545
3987.4397,2,1000000,23895
4013.1865,2,1000000,25245
4037.9363,2,1000000,26595
4063.8518,2,1000000,27945
4089.449,2,1000000,29295
4114.9053,2,1000000,30645
4140.5215,2,1000000,31995
4165.791,2,1000000,33345
4192.0254,2,1000000,34695
4217.422,2,1000000,36045
4252.8154,2,1000000,37395
4279.636,2,1000000,38745
4307.084,2,1000000,40095
4339.9263,2,1000000,41445
4366.8877,2,1000000,42795
4395.9165,2,1000000,44145
4426.0312,2,1000000,45495
4453.915,2,1000000,46845
4481.9243,2,1000000,48195
4510.6284,2,1000000,49545
4538.666,2,1000000,50895
4566.905,2,1000000,52245
3607.0156,3,1000000,14850
3618.9731,3,1000000,10395
3665.3245,3,1000000,11745
3713.7617,3,1000000,13095
3764.8977,3,1000000,14445
3815.4578,3,1000000,15795
3839.591,3,1000000,17145
3863.8738,3,1000000,18495
3889.1797,3,1000000,19845
3914.252,3,1000000,21195
3941.835,3,1000000,22545
3966.2947,3,1000000,23895
3991.0586,3,1000000,25245
4016.4834,3,1000000,26595
4041.5388,3,1000000,27945
4066.9966,3,1000000,29295
4092.9106,3,1000000,30645
4119.981,3,1000000,31995
4148.3066,3,1000000,33345
4174.4824,3,1000000,34695
4200.9067,3,1000000,36045
4237.4185,3,1000000,37395
4265.268,3,1000000,38745
4293.353,3,1000000,40095
4321.2275,3,1000000,41445
4348.765,3,1000000,42795
4376.915,3,1000000,44145
4405.386,3,1000000,45495
4434.338,3,1000000,46845
4462.9863,3,1000000,48195
4492.1416,3,1000000,49545
4522.3438,3,1000000,50895
4552.1343,3,1000000,52245
3613.754,4,1000000,14850
3625.7637,4,1000000,10395
3670.313,4,1000000,11745
3719.2375,4,1000000,13095
3768.8242,4,1000000,14445
3818.0608,4,1000000,15795
3843.1465,4,1000000,17145
3867.4204,4,1000000,18495
3891.9697,4,1000000,19845
3915.9785,4,1000000,21195
3939.9282,4,1000000,22545
3964.1804,4,1000000,23895
3988.8347,4,1000000,25245
4016.9333,4,1000000,26595
4042.3474,4,1000000,27945
4066.7185,4,1000000,29295
4091.8184,4,1000000,30645
4119.733,4,1000000,31995
4144.914,4,1000000,33345
4171.7603,4,1000000,34695
4197.765,4,1000000,36045
4231.371,4,1000000,37395
4265.625,4,1000000,38745
4292.254,4,1000000,40095
4318.8457,4,1000000,41445
4345.4365,4,1000000,42795
4372.425,4,1000000,44145
4399.511,4,1000000,45495
4427.3696,4,1000000,46845
4455.172,4,1000000,48195
4483.556,4,1000000,49545
4511.408,4,1000000,50895
4539.5293,4,1000000,52245
3354.176,5,1000000,14850
3365.0486,5,1000000,10395
3411.0151,5,1000000,11745
3460.7131,5,1000000,13095
3513.381,5,1000000,14445
3562.2124,5,1000000,15795
3587.1592,5,1000000,17145
3614.4302,5,1000000,18495
3639.9736,5,1000000,19845
3664.8616,5,1000000,21195
3693.48,5,1000000,22545
3722.1619,5,1000000,23895
3751.278,5,1000000,25245
3779.665,5,1000000,26595
3804.999,5,1000000,27945
3830.0845,5,1000000,29295
3857.107,5,1000000,30645
3882.5823,5,1000000,31995
3909.7466,5,1000000,33345
3937.903,5,1000000,34695
3965.4092,5,1000000,36045
4001.3167,5,1000000,37395
4029.7031,5,1000000,38745
4058.303,5,1000000,40095
4085.8174,5,1000000,41445
4114.566,5,1000000,42795
4143.663,5,1000000,44145
4171.849,5,1000000,45495
4200.246,5,1000000,46845
4228.9897,5,1000000,48195
4258.126,5,1000000,49545
4287.5825,5,1000000,50895
4317.3604,5,1000000,52245
3585.4136,6,1000000,14850
3596.4612,6,1000000,10395
3644.3247,6,1000000,11745
3693.201,6,1000000,13095
3742.2986,6,1000000,14445
3792.521,6,1000000,15795
3818.035,6,1000000,17145
3842.7664,6,1000000,18495
3879.1565,6,1000000,19845
3907.5618,6,1000000,21195
3934.6572,6,1000000,22545
3960.7434,6,1000000,23895
3987.0686,6,1000000,25245
4014.6885,6,1000000,26595
4043.9282,6,1000000,27945
4071.2952,6,1000000,29295
4105.3687,6,1000000,30645
4132.0586,6,1000000,31995
4158.9204,6,1000000,33345
4185.7183,6,1000000,34695
4218.2983,6,1000000,36045
4256.893,6,1000000,37395
4285.2583,6,1000000,38745
4313.7627,6,1000000,40095
4341.918,6,1000000,41445
4370.9585,6,1000000,42795
4400.314,6,1000000,44145
4428.799,6,1000000,45495
4458.84,6,1000000,46845
4487.8545,6,1000000,48195
4517.7153,6,1000000,49545
4547.1914,6,1000000,50895
4577.369,6,1000000,52245
3630.3552,7,1000000,14850
3654.3542,7,1000000,10395
3703.8506,7,1000000,11745
3753.9368,7,1000000,13095
3806.0522,7,1000000,14445
3856.5078,7,1000000,15795
3881.5002,7,1000000,17145
3906.5344,7,1000000,18495
3934.5583,7,1000000,19845
3961.8506,7,1000000,21195
3988.252,7,1000000,22545
4015.2417,7,1000000,23895
4039.826,7,1000000,25245
4066.0305,7,1000000,26595
4091.6729,7,1000000,27945
4117.604,7,1000000,29295
4142.67,7,1000000,30645
4167.962,7,1000000,31995
4195.9956,7,1000000,33345
4222.384,7,1000000,34695
4249.1406,7,1000000,36045
4283.6987,7,1000000,37395
4310.6,7,1000000,38745
4338.5415,7,1000000,40095
4366.634,7,1000000,41445
4394.229,7,1000000,42795
