"index","ADDITIONAL_DATA_SIZE","y_LATENCY","run_index"
0,10000,8678.0,0
1,10000,8601.0,0
2,10000,8655.0,0
3,10000,8573.0,0
4,10000,8559.0,0
5,10000,392.0,0
6,10000,386.0,0
7,10000,390.0,0
8,10000,392.0,0
9,10000,358.0,0
10,10000,6813.0,0
11,10000,6791.0,0
12,10000,6788.0,0
13,10000,6818.0,0
14,10000,6788.0,0
15,10000,7255.0,0
16,10000,7279.0,0
17,10000,7284.0,0
18,10000,7244.0,0
19,10000,7243.0,0
20,10000,7768.0,0
21,10000,7832.0,0
22,10000,7731.0,0
23,10000,7804.0,0
24,10000,7784.0,0
25,10000,562.0,0
26,10000,548.0,0
27,10000,568.0,0
28,10000,568.0,0
29,10000,568.0,0
30,10000,8178.0,0
31,10000,8197.0,0
32,10000,8215.0,0
33,10000,8159.0,0
34,10000,8337.0,0
35,10000,8069.0,0
36,10000,8020.0,0
37,10000,8008.0,0
38,10000,8048.0,0
39,10000,8083.0,0
40,10000,7224.0,0
41,10000,7164.0,0
42,10000,7164.0,0
43,10000,7186.0,0
44,10000,7367.0,0
45,10000,8174.0,0
46,10000,8246.0,0
47,10000,8250.0,0
48,10000,8336.0,0
49,10000,8174.0,0
50,10000,0.0,0
51,10000,0.0,0
52,10000,0.0,0
53,10000,0.0,0
54,10000,0.0,0
55,10000,902.0,0
56,10000,712.0,0
57,10000,699.0,0
58,10000,794.0,0
59,10000,749.0,0
60,10000,7518.0,0
61,10000,7668.0,0
62,10000,7594.0,0
63,10000,7565.0,0
64,10000,7546.0,0
65,10000,0.0,0
66,10000,0.0,0
67,10000,0.0,0
68,10000,0.0,0
69,10000,0.0,0
70,10000,0.0,0
71,10000,0.0,0
72,10000,0.0,0
73,10000,0.0,0
74,10000,0.0,0
75,10000,7206.0,0
76,10000,7112.0,0
77,10000,7156.0,0
78,10000,7127.0,0
79,10000,7186.0,0
80,10000,7983.0,0
81,10000,7932.0,0
82,10000,7932.0,0
83,10000,7963.0,0
84,10000,8057.0,0
85,10000,8489.0,0
86,10000,8526.0,0
87,10000,8595.0,0
88,10000,8466.0,0
89,10000,8595.0,0
90,10000,5682.0,0
91,10000,5640.0,0
92,10000,5614.0,0
93,10000,5637.0,0
94,10000,5609.0,0
95,10000,8276.0,0
96,10000,8202.0,0
97,10000,8256.0,0
98,10000,8284.0,0
99,10000,8276.0,0
100,10000,8602.0,1
101,10000,8655.0,1
102,10000,8713.0,1
103,10000,8749.0,1
104,10000,8608.0,1
105,10000,413.0,1
106,10000,413.0,1
107,10000,422.0,1
108,10000,416.0,1
109,10000,407.0,1
110,10000,6973.0,1
111,10000,6917.0,1
112,10000,6910.0,1
113,10000,6992.0,1
114,10000,6905.0,1
115,10000,7284.0,1
116,10000,7319.0,1
117,10000,7357.0,1
118,10000,17543.0,1
119,10000,7307.0,1
120,10000,7894.0,1
121,10000,7853.0,1
122,10000,14586.0,1
123,10000,7853.0,1
124,10000,14626.0,1
125,10000,863.0,1
126,10000,864.0,1
127,10000,856.0,1
128,10000,932.0,1
129,10000,994.0,1
130,10000,8418.0,1
131,10000,8306.0,1
132,10000,8333.0,1
133,10000,8387.0,1
134,10000,8738.0,1
135,10000,8198.0,1
136,10000,8365.0,1
137,10000,8260.0,1
138,10000,8262.0,1
139,10000,8157.0,1
140,10000,7314.0,1
141,10000,7356.0,1
142,10000,7296.0,1
143,10000,7331.0,1
144,10000,7356.0,1
145,10000,8729.0,1
146,10000,8434.0,1
147,10000,8454.0,1
148,10000,8410.0,1
149,10000,8481.0,1
150,10000,0.0,1
151,10000,0.0,1
152,10000,0.0,1
153,10000,0.0,1
154,10000,0.0,1
155,10000,1229.0,1
156,10000,1199.0,1
157,10000,1225.0,1
158,10000,1437.0,1
159,10000,1198.0,1
160,10000,7684.0,1
161,10000,7879.0,1
162,10000,7684.0,1
163,10000,7735.0,1
164,10000,7651.0,1
165,10000,0.0,1
166,10000,0.0,1
167,10000,0.0,1
168,10000,0.0,1
169,10000,0.0,1
170,10000,0.0,1
171,10000,0.0,1
172,10000,0.0,1
173,10000,0.0,1
174,10000,0.0,1
175,10000,7262.0,1
176,10000,7311.0,1
177,10000,7274.0,1
178,10000,7305.0,1
179,10000,7267.0,1
180,10000,8055.0,1
181,10000,8116.0,1
182,10000,8152.0,1
183,10000,8063.0,1
184,10000,8142.0,1
185,10000,8611.0,1
186,10000,8633.0,1
187,10000,8675.0,1
188,10000,8625.0,1
189,10000,8670.0,1
190,10000,5819.0,1
191,10000,5783.0,1
192,10000,5858.0,1
193,10000,5790.0,1
194,10000,5861.0,1
195,10000,8423.0,1
196,10000,8576.0,1
197,10000,8455.0,1
198,10000,8423.0,1
199,10000,8519.0,1
200,10000,8573.0,2
201,10000,8577.0,2
202,10000,8532.0,2
203,10000,8664.0,2
204,10000,8612.0,2
205,10000,386.0,2
206,10000,401.0,2
207,10000,387.0,2
208,10000,379.0,2
209,10000,375.0,2
210,10000,7097.0,2
211,10000,7107.0,2
212,10000,7062.0,2
213,10000,7101.0,2
214,10000,7062.0,2
215,10000,7447.0,2
216,10000,7480.0,2
217,10000,7488.0,2
218,10000,7451.0,2
219,10000,7448.0,2
220,10000,8028.0,2
221,10000,7972.0,2
222,10000,8011.0,2
223,10000,7991.0,2
224,10000,7991.0,2
225,10000,908.0,2
226,10000,885.0,2
227,10000,908.0,2
