"index","ADDITIONAL_DATA_SIZE","y_LATENCY","run_index"
0,10000,23865.0,0
1,10000,23922.0,0
2,10000,24031.0,0
3,10000,23945.0,0
4,10000,23901.0,0
5,10000,23892.0,0
6,10000,23927.0,0
7,10000,23955.0,0
8,10000,23945.0,0
9,10000,23981.0,0
10,10000,25680.0,0
11,10000,25771.0,0
12,10000,25719.0,0
13,10000,25653.0,0
14,10000,25653.0,0
15,10000,24013.0,0
16,10000,23983.0,0
17,10000,23956.0,0
18,10000,24019.0,0
19,10000,23963.0,0
20,10000,7598.0,0
21,10000,7636.0,0
22,10000,7632.0,0
23,10000,7622.0,0
24,10000,7625.0,0
25,10000,23802.0,0
26,10000,23881.0,0
27,10000,23830.0,0
28,10000,23760.0,0
29,10000,23762.0,0
30,10000,22197.0,0
31,10000,22142.0,0
32,10000,22172.0,0
33,10000,22172.0,0
34,10000,22198.0,0
35,10000,24695.0,0
36,10000,24813.0,0
37,10000,24662.0,0
38,10000,24784.0,0
39,10000,24676.0,0
40,10000,22937.0,0
41,10000,22903.0,0
42,10000,22853.0,0
43,10000,22847.0,0
44,10000,10043.0,0
45,10000,10002.0,0
46,10000,10038.0,0
47,10000,10043.0,0
48,10000,10043.0,0
49,10000,22795.0,0
50,10000,22864.0,0
51,10000,9982.0,0
52,10000,9938.0,0
53,10000,9993.0,0
54,10000,9983.0,0
55,10000,9990.0,0
56,10000,23874.0,0
57,10000,23815.0,0
58,10000,23915.0,0
59,10000,23900.0,0
60,10000,23815.0,0
61,10000,26031.0,0
62,10000,25785.0,0
63,10000,25789.0,0
64,10000,25740.0,0
65,10000,26077.0,0
66,10000,7762.0,0
67,10000,7797.0,0
68,10000,7784.0,0
69,10000,7802.0,0
70,10000,7737.0,0
71,10000,25808.0,0
72,10000,25694.0,0
73,10000,25676.0,0
74,10000,25656.0,0
75,10000,25618.0,0
76,10000,23134.0,0
77,10000,22992.0,0
78,10000,22978.0,0
79,10000,22965.0,0
80,10000,22964.0,0
81,10000,7367.0,0
82,10000,7361.0,0
83,10000,7372.0,0
84,10000,7341.0,0
85,10000,7363.0,0
86,10000,25980.0,0
87,10000,25975.0,0
88,10000,25894.0,0
89,10000,25949.0,0
90,10000,26042.0,0
91,10000,24045.0,1
92,10000,24153.0,1
93,10000,24077.0,1
94,10000,24063.0,1
95,10000,24025.0,1
96,10000,23958.0,1
97,10000,23958.0,1
98,10000,23981.0,1
99,10000,24001.0,1
100,10000,23996.0,1
101,10000,25562.0,1
102,10000,25587.0,1
103,10000,25674.0,1
104,10000,25535.0,1
105,10000,25513.0,1
106,10000,24046.0,1
