"index","ADDITIONAL_DATA_SIZE","y_LATENCY","run_index"
0,10000,12360.0,0
1,10000,12419.0,0
2,10000,12321.0,0
3,10000,12343.0,0
4,10000,12316.0,0
5,10000,10152.0,0
6,10000,10059.0,0
7,10000,10106.0,0
8,10000,10063.0,0
9,10000,10439.0,0
10,10000,4899.0,0
11,10000,4904.0,0
12,10000,4877.0,0
13,10000,4900.0,0
14,10000,4900.0,0
15,10000,12568.0,0
16,10000,12529.0,0
17,10000,12622.0,0
18,10000,12529.0,0
19,10000,12622.0,0
20,10000,12335.0,1
21,10000,12326.0,1
22,10000,12380.0,1
23,10000,12331.0,1
24,10000,12361.0,1
25,10000,10112.0,1
26,10000,10116.0,1
27,10000,10073.0,1
28,10000,10070.0,1
29,10000,10074.0,1
30,10000,4849.0,1
31,10000,4854.0,1
32,10000,4838.0,1
33,10000,4849.0,1
34,10000,4852.0,1
35,10000,12407.0,1
36,10000,12439.0,1
37,10000,12467.0,1
38,10000,12407.0,1
39,10000,12454.0,1
40,10000,12254.0,2
41,10000,12177.0,2
42,10000,12147.0,2
43,10000,12147.0,2
44,10000,12147.0,2
45,10000,9870.0,2
46,10000,9868.0,2
47,10000,9889.0,2
48,10000,9968.0,2
49,10000,9917.0,2
50,10000,4809.0,2
51,10000,4809.0,2
52,10000,4787.0,2
53,10000,4813.0,2
54,10000,4823.0,2
55,10000,12445.0,2
56,10000,12372.0,2
57,10000,12371.0,2
58,10000,12400.0,2
59,10000,12374.0,2
60,10000,12165.0,3
61,10000,12280.0,3
62,10000,12134.0,3
63,10000,12131.0,3
64,10000,12172.0,3
65,10000,9795.0,3
66,10000,9814.0,3
67,10000,9811.0,3
68,10000,9786.0,3
69,10000,10039.0,3
70,10000,4757.0,3
71,10000,4756.0,3
72,10000,4750.0,3
73,10000,4779.0,3
74,10000,4771.0,3
75,10000,12268.0,3
76,10000,91017.0,3
77,10000,91022.0,3
78,10000,12249.0,3
79,10000,91007.0,3
80,10000,12165.0,4
81,10000,12166.0,4
82,10000,12251.0,4
83,10000,12165.0,4
84,10000,12187.0,4
85,10000,9777.0,4
86,10000,9777.0,4
87,10000,9777.0,4
88,10000,9843.0,4
89,10000,9853.0,4
90,10000,4912.0,4
91,10000,4912.0,4
92,10000,4898.0,4
93,10000,4889.0,4
94,10000,4916.0,4
95,10000,12266.0,4
96,10000,12331.0,4
97,10000,12305.0,4
98,10000,12266.0,4
99,10000,12310.0,4
100,100000,242778.0,0
101,100000,242769.0,0
102,100000,242765.0,0
103,100000,242768.0,0
104,100000,242768.0,0
105,100000,240371.0,0
106,100000,240366.0,0
107,100000,240368.0,0
108,100000,240366.0,0
109,100000,240388.0,0
110,100000,235550.0,0
111,100000,235545.0,0
112,100000,235520.0,0
113,100000,235535.0,0
114,100000,235526.0,0
115,100000,242979.0,0
116,100000,242959.0,0
117,100000,242978.0,0
118,100000,242963.0,0
119,100000,242979.0,0
120,100000,241355.0,1
121,100000,241363.0,1
122,100000,241370.0,1
123,100000,241365.0,1
124,100000,241363.0,1
125,100000,239008.0,1
126,100000,239064.0,1
127,100000,239032.0,1
128,100000,239063.0,1
129,100000,239031.0,1
130,100000,234281.0,1
131,100000,234325.0,1
132,100000,234346.0,1
133,100000,234312.0,1
134,100000,234345.0,1
135,100000,241696.0,1
136,100000,241696.0,1
137,100000,241671.0,1
138,100000,241660.0,1
139,100000,241675.0,1
140,100000,241494.0,2
141,100000,241521.0,2
142,100000,241511.0,2
143,100000,241473.0,2
144,100000,241544.0,2
145,100000,239135.0,2
146,100000,239290.0,2
147,100000,239122.0,2
148,100000,239290.0,2
149,100000,239172.0,2
150,100000,234707.0,2
151,100000,234707.0,2
152,100000,234670.0,2
153,100000,234721.0,2
154,100000,234712.0,2
155,100000,241867.0,2
156,100000,241870.0,2
157,100000,241851.0,2
158,100000,241843.0,2
159,100000,241843.0,2
160,100000,241725.0,3
161,100000,241719.0,3
162,100000,241684.0,3
163,100000,241716.0,3
164,100000,241715.0,3
165,100000,239473.0,3
166,100000,239529.0,3
167,100000,239473.0,3
168,100000,239530.0,3
169,100000,239498.0,3
170,100000,234855.0,3
171,100000,234878.0,3
172,100000,234879.0,3
173,100000,234874.0,3
174,100000,234890.0,3
175,100000,242109.0,3
176,100000,242099.0,3
177,100000,242104.0,3
178,100000,242079.0,3
179,100000,242108.0,3
180,100000,241380.0,4
181,100000,241374.0,4
182,100000,241371.0,4
183,100000,241377.0,4
184,100000,241376.0,4
185,100000,239233.0,4
186,100000,239233.0,4
187,100000,239186.0,4
188,100000,239186.0,4
189,100000,239084.0,4
190,100000,234749.0,4
191,100000,234757.0,4
192,100000,234731.0,4
193,100000,234755.0,4
194,100000,234756.0,4
195,100000,241912.0,4
196,100000,241771.0,4
197,100000,241799.0,4
198,100000,241809.0,4
199,100000,241912.0,4
200,1000000,2291475.0,0
201,1000000,2291426.0,0
202,1000000,2291449.0,0
203,1000000,2291469.0,0
204,1000000,2291458.0,0
205,1000000,2289189.0,0
206,1000000,2289171.0,0
207,1000000,2289130.0,0
208,1000000,2289192.0,0
209,1000000,2289158.0,0
210,1000000,2284117.0,0
211,1000000,2284173.0,0
212,1000000,2284196.0,0
213,1000000,2284178.0,0
214,1000000,2284187.0,0
215,1000000,2291848.0,0
216,1000000,2291973.0,0
217,1000000,2291951.0,0
218,1000000,2291919.0,0
219,1000000,2291944.0,0
220,1000000,2300303.0,1
221,1000000,2300420.0,1
222,1000000,2301047.0,1
223,1000000,2301047.0,1
224,1000000,2300340.0,1
225,1000000,2298113.0,1
226,1000000,2298101.0,1
227,1000000,2298078.0,1
228,1000000,2298098.0,1
229,1000000,2298127.0,1
230,1000000,2293138.0,1
231,1000000,2293133.0,1
232,1000000,2293180.0,1
233,1000000,2293183.0,1
234,1000000,2293121.0,1
235,1000000,2300839.0,1
236,1000000,2300860.0,1
237,1000000,2300842.0,1
238,1000000,2300862.0,1
239,1000000,2300824.0,1
240,1000000,2293888.0,2
241,1000000,2293881.0,2
242,1000000,2293875.0,2
243,1000000,2293863.0,2
244,1000000,2293813.0,2
245,1000000,2291610.0,2
246,1000000,2291620.0,2
247,1000000,2291636.0,2
248,1000000,2291653.0,2
249,1000000,2291580.0,2
250,1000000,2287185.0,2
251,1000000,2287112.0,2
252,1000000,2287088.0,2
253,1000000,2287177.0,2
254,1000000,2287181.0,2
255,1000000,2294340.0,2
256,1000000,2294349.0,2
257,1000000,2294374.0,2
258,1000000,2294267.0,2
259,1000000,2294388.0,2
260,1000000,2297347.0,3
261,1000000,2297332.0,3
262,1000000,2297312.0,3
263,1000000,2297296.0,3
264,1000000,2297253.0,3
265,1000000,2295264.0,3
266,1000000,2295254.0,3
267,1000000,2295278.0,3
268,1000000,2295248.0,3
269,1000000,2295281.0,3
270,1000000,2290751.0,3
271,1000000,2290718.0,3
272,1000000,2290732.0,3
273,1000000,2290698.0,3
274,1000000,2290755.0,3
275,1000000,2297881.0,3
276,1000000,2297856.0,3
277,1000000,2297883.0,3
278,1000000,2297836.0,3
279,1000000,2297893.0,3
280,1000000,2295709.0,4
281,1000000,2295727.0,4
282,1000000,2295688.0,4
283,1000000,2295678.0,4
284,1000000,2295744.0,4
285,1000000,2294177.0,4
286,1000000,2293385.0,4
287,1000000,2293398.0,4
288,1000000,2294159.0,4
289,1000000,2293396.0,4
290,1000000,2288591.0,4
291,1000000,2288679.0,4
292,1000000,2288653.0,4
293,1000000,2288677.0,4
294,1000000,2288627.0,4
295,1000000,2296123.0,4
296,1000000,2296188.0,4
297,1000000,2296193.0,4
298,1000000,2296189.0,4
299,1000000,2296200.0,4
300,10000000,14046858.0,0
301,10000000,14046045.0,0
302,10000000,14045962.0,0
303,10000000,14046073.0,0
304,10000000,14046133.0,0
305,10000000,14048822.0,0
306,10000000,14048720.0,0
307,10000000,14049194.0,0
308,10000000,14048596.0,0
309,10000000,14048375.0,0
310,10000000,14040897.0,0
311,10000000,14040623.0,0
312,10000000,14040261.0,0
313,10000000,14040170.0,0
314,10000000,14040426.0,0
315,10000000,14048649.0,0
316,10000000,14048608.0,0
317,10000000,14048516.0,0
318,10000000,14048463.0,0
319,10000000,14048996.0,0
320,10000000,16252795.0,1
321,10000000,16251785.0,1
322,10000000,16252824.0,1
323,10000000,16251928.0,1
324,10000000,16252559.0,1
325,10000000,16253799.0,1
326,10000000,16253463.0,1
327,10000000,16254347.0,1
328,10000000,16254339.0,1
329,10000000,16254174.0,1
330,10000000,16242785.0,1
331,10000000,16241827.0,1
332,10000000,16242260.0,1
333,10000000,16242277.0,1
334,10000000,16241859.0,1
335,10000000,16252422.0,1
336,10000000,16252125.0,1
337,10000000,16251956.0,1
338,10000000,16252191.0,1
339,10000000,16251955.0,1
340,10000000,13952874.0,2
341,10000000,13952838.0,2
342,10000000,13952749.0,2
343,10000000,13952789.0,2
344,10000000,13953614.0,2
345,10000000,13959395.0,2
346,10000000,13953019.0,2
347,10000000,13953388.0,2
348,10000000,13958641.0,2
349,10000000,13954165.0,2
350,10000000,13944908.0,2
351,10000000,13944788.0,2
352,10000000,13945551.0,2
353,10000000,13944714.0,2
354,10000000,13944887.0,2
355,10000000,13954352.0,2
356,10000000,13955432.0,2
357,10000000,13954354.0,2
358,10000000,13954209.0,2
359,10000000,13954805.0,2
360,10000000,15274223.0,3
361,10000000,15274256.0,3
362,10000000,15274533.0,3
363,10000000,15274306.0,3
364,10000000,15274312.0,3
365,10000000,15273362.0,3
366,10000000,15272549.0,3
367,10000000,15272700.0,3
368,10000000,15272963.0,3
369,10000000,15273527.0,3
370,10000000,15264247.0,3
371,10000000,15264673.0,3
372,10000000,15264692.0,3
373,10000000,15264293.0,3
374,10000000,15263925.0,3
375,10000000,15271559.0,3
376,10000000,15277962.0,3
377,10000000,15271677.0,3
378,10000000,15272614.0,3
379,10000000,15277903.0,3
380,10000000,14016184.0,4
381,10000000,14015653.0,4
382,10000000,14015468.0,4
383,10000000,14015917.0,4
384,10000000,14015609.0,4
385,10000000,14014987.0,4
386,10000000,14015082.0,4
387,10000000,14016510.0,4
388,10000000,14015854.0,4
389,10000000,14014637.0,4
390,10000000,14007201.0,4
391,10000000,14007044.0,4
392,10000000,14007309.0,4
393,10000000,14007300.0,4
394,10000000,14006943.0,4
395,10000000,14014919.0,4
396,10000000,14015027.0,4
397,10000000,14015351.0,4
398,10000000,14014792.0,4
399,10000000,14014697.0,4
